bark_thickness,bud_burst_mean,clonal_growth_form,coarse_root_depth,cold_tolerance,cone_serotiny,dispersal_distance,dispersal_syndrome,drought_tolerance,bud_burst_early,fire_resistance,fire_tolerance,foliage,bud_burst_late,leaf_dry_matter_content,leaf_flammability,leaf_force_punch,leaf_photosyn_rate,leaf_text_coarse,leaf_thickness,leaf_length,max_height,plant_height_veg,resprout_ability,shade_tolerance,specific_leaf_area,waterlogging_tolerance,wood_density,water_potential_50_loss_stem,xylem_conductance,low_branch_height,hydraulic_safety_margin_50,hydraulic_safety_margin_88,leaf_mass_area,min_midday_xylem,seed_bank_longevity,slope_vulnerability_curve,stem_conduit_diam,water_potential_12_loss_stem,water_potential_88_loss_stem,deg_self_pruning,photosynth_water_effic,specific_leaf_conduct,stem_conduit_dens,stomatal_conductance,seedbank_duration,leaf_toughness,min_predawn_xylem,stem_xylem_vulnerability_p50,leaf_texture,photosyn_rate_per_leaf_area,plant_height_gen,leaf_water_content,seedbank_density,stomata_density,relative_growth_rate,water_use_effic,time_step
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587861978461538,0,t1
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587861978461538,0,t1
1.665084444444444,0.55,0.2,0,-5.667000000000001,0,0,6,0.17700000000000002,0.5,0,0,0.36,0.6000000000000001,0.036936596393372004,0,0.454056331348139,1.42482808459476,0.1,0.016,0,4.5,4.93467389252735,0.1,0.121,18.43713377806896,0.17700000000000002,0.0199253217307344,-0.74303125,0,0,0.073,0.0761,8.219021872752291,-0.20099999999999998,0.2,2.08240496100773,2.36778846153846,-0.08135,-0.40045000000000003,0,0.23971384401111104,5.48e-6,0,33.209555356871,0,0,0,-0.25067278287461797,0,0,2.52,0,0,0,0.05471913767999996,0,t1
100,0,0,0,-61.67,0,0,6,1.77,0,0,1,0,0,0.44243,0,3.44626335708988,12.865,1,0.27,0,30,26.4364571428572,1,1.27,15.9059712709575,2.63,0.22639625,-1.71965277777778,0,0,0.552166469539244,0.825,83.1469185202787,-0.7,0,48.513481948996,36.65,-0.925,-2.505,0,0,0,363.81,378.241880277778,0,0,-0.1,0,0,0,0,0,0,0,0,0,t1
3.0454258752370937,1.53681853747382,0.384204634368455,0,-20.063166006720717,0,24.332960176668802,6,0.7760933614242791,1.53681853747382,0,0,0,1.53681853747382,0.13155935090044635,0,0.7783172023079016,4.264389953036357,0.384204634368455,0.08068297321737554,0,7.6840926873691,5.896453697015486,0.384204634368455,0.5916751369274207,21.142400949903937,0.48025579296056875,0.09319310300645059,-0.8689611101887662,0,1.004814354794522,0,0,181.9408449167331,0,0,32.30247050728269,0,-0.5002344339477284,-0.9666588600710327,0,0,6.511115938642206e-5,0,99.05628680128851,0,0,0,0,0,0,0,0,845250.195610601,32.338832289807144,0.03620026819676062,0,t1
4.2982814959888165,0,0,0,0,0,0,6,0,0,0,0,1.0613040730836585,0,0,0,0,0,0,0,0,9.728620669933536,10.697944884157687,0,0,17.620304704991245,0,1.1674344803920242e-4,-1.5212025047532436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.429128511585609,0,0,0,0.06412679673978468,0,t1
2.6542769883319437,0,0,0,-0.9875496670442637,0,0,6,0.02834381239935701,0,0,0,0.2599831246999845,0,0.007084832158105944,0,0.05518657744188353,0.20601307712865985,0.01601345333297006,0.004323632399901917,0,2.863582243072293,3.043968827459194,0.01601345333297006,0.02033708573287198,18.61247585322663,0.04211538226571126,0.0036539839278514215,-0.4001800582425013,0,0,0.008842091991997519,0.013211098999700301,1.3314692995047472,-0.011209417333079043,0,0.776868379210133,0.5868930646533528,-0.014812444332997308,-0.04011370059909,0,0,0,5.825854457067838,6.056958698403047,0,0,-0.0016013453332970062,0,0,0,1.8198818728998916,0,0,0,0.059153091505288184,0,t1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,0.0539752377333333,0,t1
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587861978461538,0,t1
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587861978461538,0,t1
3,0,0,0,-1.8501,0,0,6,0.0531,0,0,0,0,0,0.013272899999999999,0,0.10338790071269639,0.38595,0.03,0.0081,0,0.8999999999999999,0.793093714285716,0.03,0.0381,18.90717913812873,0.0789,0.0067918875,-0.0515895833333334,0,0,0.01656499408617732,0.024749999999999998,2.494407555608361,-0.020999999999999998,0,1.45540445846988,1.0995,-0.02775,-0.07515,0,0,0,10.914299999999999,11.34725640833334,0,0,-0.003,0,0,0,0,0,0,0,0.05702261191076919,0,t1
2.07084444444444,5.5,2,0,-56.67,0,0,6,1.77,5,0,1,0,6,0.36936596393372,0,4.54056331348139,14.2482808459476,1,0.16,0,12,13.0587395104895,1,1.21,18.0513377806896,1.77,0.198857217307344,-2.2703125,0,0,0.73,0.761,82.1902187275229,-2.01,2,20.8240496100773,23.6778846153846,-0.8135,-4.0045,0,2.39713844011111,5.48e-5,0,332.09555356871,0,0,0,-2.50672782874618,0,0,0,0,0,0,0,0,t1
14.883442258818121,0,0,0,-1.9188546852739152,0,0,6,0.05507333862388244,0,0,0,2.906655358264606,0,0.013766156614330116,0,0.1072300727977903,0.40029293864194776,0.031114880578464652,0.008401017756185456,0,27.577787201446164,30.121652745719036,0.031114880578464652,0.03951589833465011,15.125077699845518,0.08183213592136203,0.007364024371571335,-4.219712804329583,0,0,0.017180593759146018,0.025669776477233338,2.587106440225803,-0.021780416404925257,0,1.5094911972885112,1.1403603732007295,-0.028781264535079804,-0.07794277584905394,0,0,0,11.319904703251225,11.768950934616987,0,0,-0.0031114880578464654,0,0,0,20.346587507852245,0,0,0,0.07158368196444494,0,t1
14.159729584976622,0,0,0,-1.4108141548720343,0,0,5.999999999999999,0.040491990499813536,0,0,0,2.9313695076274344,0,0.010121396246798024,0,0.07883958368086945,0.29431042812435093,0.022876830790855104,0.006176744313530879,0,27.557192076977138,30.152986517127953,0.022876830790855104,0.029053575104385984,15.118438068387984,0.06016606497994892,0.005501679348773147,-4.240969833215569,0,0,0.012631818892033134,0.01887338540245546,1.9021379857694323,-0.01601378155359857,0,1.109834717622385,0.8384358484848395,-0.021161068481540972,-0.057306461131092036,0,0,0,8.322819810020995,8.652975493129603,0,0,-0.0022876830790855107,0,0,0,20.519586553392042,0,0,0,0.07219232990854339,0,t1
3.343923466666662,5.4285,1.974,0,-56.735,0,0,6,1.77,4.935,0,1,0,5.922,0.3703157964025816,0,4.5263374140482995,14.23029819495028,1,0.16143000000000002,0,12.234,13.23264983971028,1,1.21078,18.023448016063085,1.78118,0.1992152247323485,-2.263153923611111,0,0,0.7276881641040102,0.761832,82.20265582482872,-1.99297,1.974,21.18401223048324,23.846522115384598,-0.8149495,-3.9850065,0,2.365975640389666,5.4087599999999994e-5,4.72953,332.69545581592786,0,0,-0.0013,-2.4741403669724793,0,0,0,0,0,0,0,0,t1
100,0,0,0,-61.67,0,0,6,1.77,0,0,1,0,0,0.44243,0,3.44626335708988,12.865,1,0.27,0,30,26.4364571428572,1,1.27,15.9059712709575,2.63,0.22639625,-1.71965277777778,0,0,0.552166469539244,0.825,83.1469185202787,-0.7,0,48.513481948996,36.65,-0.925,-2.505,0,0,0,363.81,378.241880277778,0,0,-0.1,0,0,0,0,0,0,0,0,0,t1
