"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"1",1121871,0,0,1,"PICE","MAR","",92.6,0.917,"2006-AUG-27",6490000,520000
"2",1121871,0,0,2,"LARI","LAR","",7.4,0.083,"2006-AUG-27",6490000,520000
"3",1121871,1,0,1,"PICE","MAR","",94.9,0.923,"2012-JUN-08",6490000,520000
"4",1121871,1,0,2,"LARI","LAR","",5.1,0.077,"2012-JUN-08",6490000,520000
"5",1149331,0,0,1,"POPU","TRE","",40.4,0.34,"2006-AUG-29",6460000,620000
"6",1149331,0,0,4,"SALI","SPP","",7.7,0.132,"2006-AUG-29",6460000,620000
"7",1149331,0,0,5,"BETU","PAP","",1,0.019,"2006-AUG-29",6460000,620000
"8",1149376,0,0,1,"PICE","GLA","",38.9,0.439,"2013-JUN-16",6420000,450000
"9",1156221,0,0,1,"PICE","MAR","",100,1,"2006-AUG-22",6430000,660000
"10",1156276,0,0,1,"PICE","MAR","",72.5,0.75,"2007-JUN-05",6390000,520000
"11",1156276,0,0,2,"PINU","BAN","",27.5,0.25,"2007-JUN-05",6390000,520000
"12",1163051,0,0,5,"SALI","SPP","",3.3,0.077,"2006-AUG-30",6440000,460000
"13",1163151,0,0,1,"PICE","GLA","",67.7,0.654,"2006-AUG-26",6370000,500000
"14",1163151,0,0,4,"POPU","BAL","",1.6,0.038,"2006-AUG-26",6370000,500000
"15",1163151,1,0,1,"POPU","TRE","",88.4,0.717,"2007-JUN-15",6370000,500000
"16",1163151,1,0,2,"PICE","GLA","",11.6,0.283,"2007-JUN-15",6370000,500000
"17",1169931,0,0,1,"POPU","TRE","",93.4,0.949,"2006-AUG-31",6420000,460000
"18",1170036,0,0,1,"PICE","MAR","",100,1,"2007-JUN-03",6350000,510000
"19",1170041,0,0,1,"LARI","LAR","",41.4,0.333,"2011-MAY-31",6340000,530000
"20",1170041,0,0,2,"PICE","MAR","",30.9,0.333,"2011-MAY-31",6340000,530000
"21",1170041,0,0,3,"PINU","BAN","",27.7,0.333,"2011-MAY-31",6340000,530000
"22",1176851,0,0,1,"PICE","MAR","",92.2,0.875,"2013-MAY-31",6380000,610000
"23",1176851,0,0,2,"LARI","LAR","",7.8,0.125,"2013-MAY-31",6380000,610000
"24",1176881,0,0,1,"PINU","BAN","",50.4,0.529,"2008-MAY-31",6360000,370000
"25",1176881,0,0,2,"POPU","TRE","",31,0.265,"2008-MAY-31",6360000,370000
"26",1176881,0,0,3,"PICE","GLA","",18.6,0.206,"2008-MAY-31",6360000,370000
"27",1176926,0,0,1,"PINU","BAN","",100,1,"2011-JUN-10",6320000,550000
"28",1183726,0,0,1,"PICE","GLA","",91.9,0.925,"2013-MAY-31",6360000,590000
"29",1183726,0,0,2,"POPU","BAL","",8.1,0.075,"2013-MAY-31",6360000,590000
"30",1183746,0,0,1,"POPU","TRE","",53.1,0.571,"2006-AUG-23",6350000,670000
"31",1183746,0,0,2,"PINU","BAN","",26.7,0.224,"2006-AUG-23",6350000,670000
"32",1183746,0,0,3,"PICE","GLA","",14,0.143,"2006-AUG-23",6350000,670000
"33",1183746,0,0,4,"PICE","MAR","",6.1,0.061,"2006-AUG-23",6350000,670000
"34",1183781,0,0,1,"POPU","TRE","",90.6,0.877,"2012-MAY-24",6320000,450000
"35",1183781,0,0,2,"PICE","GLA","",9.4,0.123,"2012-MAY-24",6320000,450000
"36",1190541,0,0,1,"PINU","CON","",86.8,0.759,"2006-SEP-01",6370000,330000
"37",1190541,0,0,2,"PICE","MAR","",11,0.207,"2006-SEP-01",6370000,330000
