"","nfi_plot","loc_id","meas_num","genus","species","variety","species_num","species_strel","smtree_species_num","smtree_percent","meas_date","utm_n","utm_e"
"1",1121871,0,0,"BETU","PAP",NA,3,0.048,3,1,"2006-AUG-27",6490000,520000
"2",1121871,0,0,"LARI","LAR",NA,2,0.161,2,16,"2006-AUG-27",6490000,520000
"3",1121871,0,0,"PICE","MAR",NA,1,0.79,1,83,"2006-AUG-27",6490000,520000
"4",1121871,1,0,"LARI","LAR",NA,2,0.351,2,23,"2012-JUN-08",6490000,520000
"5",1121871,1,0,"PICE","MAR",NA,1,0.649,1,77,"2012-JUN-08",6490000,520000
"6",1149331,0,0,"ALNU","INC",NA,2,0.2,2,18,"2006-AUG-29",6460000,620000
"7",1149331,0,0,"PICE","GLA",NA,3,0.08,4,1,"2006-AUG-29",6460000,620000
"8",1149331,0,0,"POPU","BAL",NA,4,0.04,3,2,"2006-AUG-29",6460000,620000
"9",1149331,0,0,"SALI","SPP",NA,1,0.68,1,80,"2006-AUG-29",6460000,620000
"10",1149376,0,0,"ABIE","BAL",NA,1,0.5,1,53,"2013-JUN-16",6420000,450000
"11",1149376,0,0,"PICE","GLA",NA,2,0.357,2,30,"2013-JUN-16",6420000,450000
"12",1149376,0,0,"PICE","MAR",NA,3,0.125,3,17,"2013-JUN-16",6420000,450000
"13",1149376,0,0,"UNKN","SPP",NA,4,0.018,4,0,"2013-JUN-16",6420000,450000
"14",1156221,0,0,"PICE","MAR",NA,1,1,1,100,"2006-AUG-22",6430000,660000
"15",1156276,0,0,"PICE","MAR",NA,1,1,1,100,"2007-JUN-05",6390000,520000
"16",1163051,0,0,"BETU","PAP",NA,2,0.118,2,28,"2006-AUG-30",6440000,460000
"17",1163051,0,0,"SALI","SPP",NA,1,0.882,1,72,"2006-AUG-30",6440000,460000
"18",1163151,0,0,"BETU","PAP",NA,1,0.455,2,30,"2006-AUG-26",6370000,500000
"19",1163151,0,0,"PICE","GLA",NA,2,0.364,1,69,"2006-AUG-26",6370000,500000
"20",1163151,0,0,"POPU","TRE",NA,3,0.182,3,1,"2006-AUG-26",6370000,500000
"21",1163151,1,0,"BETU","PAP",NA,2,0.2,2,11,"2007-JUN-15",6370000,500000
"22",1163151,1,0,"PICE","GLA",NA,1,0.8,1,89,"2007-JUN-15",6370000,500000
"23",1169931,0,0,"POPU","BAL",NA,3,0.033,3,7,"2006-AUG-31",6420000,460000
"24",1169931,0,0,"POPU","TRE",NA,2,0.295,1,57,"2006-AUG-31",6420000,460000
"25",1169931,0,0,"SALI","SPP",NA,1,0.672,2,37,"2006-AUG-31",6420000,460000
