"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"1",1100891,"2003-JUN-30",0,0.5,0.72,0.37,0,0,0
"2",1100891,"2021-JUL-18",1,0.38,0.54,0.36,0,0,0
"3",1100951,"2005-JUL-13",0,0.37,0.53,0.31,0,0,0
"4",1100951,"2020-AUG-07",1,0.37,0.53,0.31,0,0,0
"5",1100981,"2003-JUL-21",0,0.28,0.41,0.24,0,0,0
"6",1100996,"2003-JUL-19",0,0.64,0.59,0.51,0,0,0
"7",1100996,"2020-AUG-21",1,0.66,0.95,0.24,0,0,0
"8",1101001,"2005-JUL-11",0,0,0,0,0,0,0
"9",1101001,"2020-AUG-15",1,0.69,1,0.38,0.29,0.41,0.31
"10",1101011,"2003-JUL-18",0,0.41,0.59,0.3,0.35,0.51,0.24
"11",1101011,"2020-JUL-19",1,0.59,0.85,0.3,0,0,0
"12",1101036,"2004-AUG-16",0,0.43,0.62,0.39,0,0,0
"13",1101036,"2020-JUL-18",1,0.98,0.89,0.69,0,0,0
"14",1101051,"2002-AUG-23",0,0,0,0,0,0,0
"15",1101051,"2020-JUL-03",1,0,0,0,0,0,0
"16",1107841,"2003-JUL-16",0,0.44,0.32,0.67,0,0,0
"17",1107841,"2020-AUG-08",1,0.82,0.75,0.48,0,0,0
"18",1107861,"2000-AUG-23",0,0,0,0,0,0,0
"19",1107861,"2020-AUG-16",1,0,0,0,0,0,0
"20",1107881,"2001-AUG-19",0,0.4,0.57,0.32,0.1,0.15,0.19
"21",1107881,"2020-AUG-10",1,0.53,0.77,0.22,0.55,0.79,0.33
"22",1107901,"2001-JUL-14",0,0.56,0.81,0.3,0.85,0.77,0.53
"23",1107901,"2020-JUL-20",1,0.55,0.8,0.28,1.15,0.83,1.37
"24",1107906,"2004-AUG-19",0,0.77,0.7,0.54,0,0,0
"25",1107906,"2020-JUL-23",1,0.82,0.59,0.87,0,0,0
"26",1107921,"2001-JUL-16",0,0.38,0.54,0.48,0.57,0.82,0.27
"27",1107921,"2020-JUL-15",1,0.41,0.59,0.51,0.47,0.68,0.3
"28",1114666,"2002-JUL-30",0,0,0,0,0,0,0
"29",1114666,"2021-JUL-21",1,0,0,0,0,0,0
"30",1114726,"2002-JUL-28",0,0.55,0.8,0.28,0.81,0.74,0.56
"31",1114726,"2020-AUG-09",1,0.66,0.6,0.5,0.74,0.67,0.96
"32",1114736,"2005-JUL-10",0,0,0,0,0,0,0
"33",1114736,"2020-AUG-20",1,0,0,0,0,0,0
"34",1114741,"2005-JUL-09",0,0.27,0.25,0.48,1.04,0.94,0.83
"35",1114741,"2020-AUG-17",1,0.75,0.47,1.02,0.5,0.72,0.43
"36",1114761,"2005-JUL-07",0,1.15,0.71,1.15,0.11,0.16,0.27
"37",1114761,"2020-AUG-12",1,0.68,0.62,0.91,1.1,1,0.59
"38",1114771,"2002-JUL-11",0,0,0,0,0,0,0
"39",1114771,"2020-JUL-22",1,0.3,0.44,0.42,0.67,0.97,0.62
"40",1114846,"2002-JUL-15",0,0.53,0.77,0.24,0.64,0.92,0.56
"41",1114846,"2019-JUL-15",1,0.76,0.69,0.49,0,0,0
"42",1121576,"2001-AUG-21",0,0,0,0,0,0,0
"43",1121576,"2021-AUG-17",1,0,0,0,0,0,0
"44",1121621,"2001-AUG-24",0,0.59,0.85,0.28,0,0,0
"45",1121621,"2020-AUG-19",1,0.77,0.7,0.61,0.94,0.86,0.87
"46",1121706,"2001-JUL-18",0,0.6,0.55,0.61,0,0,0
"47",1128496,"2002-JUL-27",0,0,0,0,0,0,0
"48",1128496,"2020-AUG-14",1,0,0,0,0,0,0
"49",1128551,"2004-AUG-22",0,0.65,0.94,0.31,0.67,0.97,0.21
"50",1128551,"2020-JUL-11",1,0.57,0.82,0.29,0,0,0
"51",1128606,"2002-JUL-09",0,0,0,0,0,0,0
"52",1128606,"2019-JUL-02",1,0,0,0,0,0,0
"53",1128611,"2002-JUL-13",0,0.25,0.22,0.5,0.2,0.29,0.33
"54",1128611,"2019-JUL-04",1,0.49,0.45,0.54,0,0,0
"55",1135306,"2003-JUL-23",0,0,0,0,0.6,0.86,0.51
"56",1135306,"2021-JUL-20",1,0,0,0,0.69,1,1.44
"57",1135321,"2003-JUL-25",0,0,0,0,0,0,0
"58",1135321,"2021-JUL-19",1,0,0,0,0,0,0
"59",1135396,"2002-JUL-31",0,0.85,0.77,0.69,0,0,0
"60",1135396,"2020-AUG-13",1,0.65,0.94,0.38,0,0,0
"61",1135431,"2000-AUG-26",0,0,0,0,0,0,0
"62",1135431,"2020-JUL-04",1,0,0,0,0,0,0
"63",1135451,"2004-AUG-27",0,0.15,0.21,0.22,0.08,0.07,0.4
"64",1135451,"2019-JUN-26",1,0.11,0.15,0.22,0,0,0
"65",1135456,"2004-AUG-11",0,1.18,0.73,1.56,0,0,0
"66",1135456,"2019-JUL-07",1,1.18,0.73,1.56,0,0,0
"67",1135471,"2003-JUN-16",0,0,0,0,0.42,0.38,0.4
