"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"1",1101411,"2004-JUL-25",0,0,0,0,0.29,0.26,0.59
"2",1101411,"2016-AUG-30",1,0,0,0,0.16,0.22,0.3
"3",1108316,"2004-JUL-11",0,0,0,0,0,0,0
"4",1108316,"2015-AUG-09",1,0,0,0,0,0,0
"5",1108321,"2004-JUL-10",0,0.51,0.46,0.76,0.9,0.65,0.57
"6",1108321,"2015-AUG-10",1,0,0,0,0,0,0
"7",1108326,"2004-JUL-10",0,0,0,0,0.43,0.39,0.44
"8",1108326,"2015-AUG-08",1,0,0,0,0.11,0.15,0.22
"9",1115226,"2004-JUL-08",0,0,0,0,0,0,0
"10",1115226,"2010-JUN-27",1,0,0,0,0,0,0
"11",1122121,"2004-JUL-07",0,0,0,0,0.17,0.24,0.31
"12",1128906,"2004-JUL-23",0,0,0,0,0,0,0
"13",1128906,"2010-JUL-11",1,0,0,0,0,0,0
"14",1128926,"2004-JUL-11",0,0.05,0.07,0.21,0.62,0.89,0.39
"15",1128926,"2010-JUL-08",1,0.05,0.07,0.21,0,0,0
"16",1128941,"2003-JUL-06",0,0,0,0,0,0,0
"17",1128941,"2016-AUG-28",1,0,0,0,0,0,0
"18",1128956,"2003-JUL-04",0,0,0,0,0.84,0.6,1.21
"19",1128956,"2010-JUN-25",1,0,0,0,0.66,0.48,1.06
"20",1128976,"2004-JUL-08",0,0,0,0,1.15,0.83,0.89
"21",1128976,"2010-JUN-26",1,0,0,0,0.56,0.81,0.36
"22",1135821,"2003-JUL-06",0,0,0,0,0.59,0.85,0.25
"23",1135821,"2016-AUG-27",1,0,0,0,0,0,0
"24",1135826,"2003-JUL-01",0,0.71,0.51,0.69,0,0,0
"25",1135861,"2004-JUL-09",0,0.67,0.97,0.43,0.24,0.22,0.5
"26",1135876,"2003-AUG-16",0,0,0,0,0.24,0.35,0.29
"27",1135876,"2017-JUN-08",1,0,0,0,0.38,0.54,0.36
"28",1142656,"2004-JUL-22",0,0.55,0.8,0.23,0,0,0
"29",1142656,"2010-JUL-10",1,0.48,0.7,0.23,0,0,0
"30",1142726,"2003-JUL-04",0,0.05,0.07,0.21,0,0,0
