"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","meas_date","utm_n","utm_e"
"1",1101411,0,0,1,"SALI","SPP","",99,0.933,"2004-JUL-25",6330000,520000
"2",1101411,0,1,1,"PICE","MAR","",93,0.964,"2016-AUG-30",6330000,520000
"3",1101411,0,1,2,"BETU","PAP","PAP",7,0.036,"2016-AUG-30",6330000,520000
"4",1108316,0,0,1,"PICE","MAR","",100,1,"2004-JUL-11",6270000,600000
"5",1108316,0,1,1,"PICE","MAR","",100,1,"2015-AUG-09",6270000,600000
"6",1108326,0,0,1,"PICE","MAR","",97,0.883,"2004-JUL-10",6260000,640000
"7",1108326,0,0,2,"SALI","SCO","",2,0.085,"2004-JUL-10",6260000,640000
"8",1108326,0,0,3,"POPU","TRE","",1,0.032,"2004-JUL-10",6260000,640000
"9",1108326,0,1,1,"PICE","MAR","",99,0.978,"2015-AUG-08",6260000,640000
"10",1108326,0,1,2,"POPU","TRE","",1,0.022,"2015-AUG-08",6260000,640000
"11",1115226,0,0,1,"PICE","MAR","",100,1,"2004-JUL-08",6210000,330000
"12",1115226,0,1,1,"PICE","MAR","",100,1,"2010-JUN-27",6210000,330000
"13",1128906,0,0,1,"PICE","MAR","",100,1,"2004-JUL-23",6290000,390000
"14",1128906,0,1,1,"PICE","MAR","",100,1,"2010-JUL-11",6290000,390000
"15",1128941,0,0,1,"PICE","MAR","",100,1,"2003-JUL-06",6240000,520000
"16",1128941,0,1,1,"PICE","MAR","",100,1,"2016-AUG-30",6240000,520000
"17",1128956,0,0,1,"PICE","MAR","",57,0.75,"2003-JUL-04",6220000,580000
"18",1128956,0,0,2,"LARI","LAR","",22,0.083,"2003-JUL-04",6220000,580000
"19",1128956,0,0,3,"PINU","BAN","",17,0.083,"2003-JUL-04",6220000,580000
"20",1128956,0,0,4,"POPU","TRE","",5,0.083,"2003-JUL-04",6220000,580000
"21",1128956,0,1,1,"PICE","MAR","",55,0.824,"2010-JUN-25",6220000,580000
"22",1128956,0,1,2,"LARI","LAR","",25,0.059,"2010-JUN-25",6220000,580000
"23",1128956,0,1,3,"PINU","BAN","",18,0.059,"2010-JUN-25",6220000,580000
"24",1128956,0,1,4,"POPU","TRE","",2,0.059,"2010-JUN-25",6220000,580000
"25",1128976,0,0,1,"LARI","LAR","",65,0.483,"2004-JUL-08",6190000,650000
"26",1128976,0,1,1,"LARI","LAR","",74,0.75,"2010-JUN-26",6190000,650000
"27",1128976,0,1,2,"PICE","MAR","",26,0.25,"2010-JUN-26",6190000,650000
"28",1135821,0,0,1,"PICE","MAR","",96,0.727,"2003-JUL-06",6220000,520000
"29",1135821,0,0,2,"LARI","LAR","",4,0.273,"2003-JUL-06",6220000,520000
"30",1135821,0,1,1,"PINU","BAN","",100,1,"2016-AUG-27",6220000,520000
"31",1135826,0,0,1,"PICE","MAR","",100,1,"2003-JUL-01",6210000,530000
"32",1135826,0,1,1,"PICE","MAR","",100,0.75,"2010-JUN-23",6210000,530000
"33",1135876,0,0,1,"PICE","MAR","",88,0.935,"2003-AUG-16",6140000,340000
"34",1135876,0,0,2,"BETU","PAP","",12,0.065,"2003-AUG-16",6140000,340000
"35",1135876,0,1,1,"PICE","MAR","",98,0.875,"2017-JUN-08",6140000,720000
"36",1135876,0,1,2,"BETU","PAP","PAP",2,0.125,"2017-JUN-08",6140000,720000
"37",1142656,0,0,1,"PICE","MAR","",100,1,"2004-JUL-22",6270000,340000
"38",1142656,0,1,1,"PICE","MAR","",100,1,"2010-JUL-10",6270000,340000
"39",1149546,0,0,1,"PICE","MAR","",100,1,"2004-JUL-22",6240000,370000
"40",1149546,0,1,1,"PICE","MAR","",100,1,"2015-AUG-19",6240000,370000
"41",1149556,0,0,1,"PICE","MAR","",96,0.903,"2004-JUL-24",6220000,410000
"42",1149556,0,0,2,"SALI","SPP","",4,0.097,"2004-JUL-24",6220000,410000
"43",1149556,0,1,1,"PICE","MAR","",100,1,"2015-AUG-20",6220000,410000
"44",1149626,0,0,1,"PICE","MAR","",94,0.889,"2004-JUL-09",6120000,670000
"45",1149626,0,1,1,"PICE","MAR","",100,1,"2017-JUN-20",6120000,670000
"46",1149636,0,0,1,"PICE","MAR","",100,1,"2003-JUL-18",6100000,320000
"47",1149636,0,1,1,"PICE","MAR","",100,1,"2017-JUN-09",6100000,710000
"48",1156421,0,0,1,"PICE","MAR","",99,0.857,"2004-JUN-23",6230000,350000
"49",1156421,0,0,2,"SALI","SPP","",1,0.143,"2004-JUN-23",6230000,350000
"50",1156421,0,1,1,"PICE","MAR","",99,0.714,"2015-JUN-25",6230000,350000
"51",1156461,0,0,1,"PICE","MAR","",53,0.739,"2003-AUG-18",6170000,490000
"52",1156461,0,0,2,"POPU","TRE","",44,0.217,"2003-AUG-18",6170000,490000
"53",1156461,0,0,3,"POPU","BAL","",3,0.043,"2003-AUG-18",6170000,490000
"54",1156461,0,1,1,"PICE","MAR","",88,0.857,"2016-AUG-26",6170000,490000
"55",1156461,0,1,2,"POPU","TRE","",13,0.143,"2016-AUG-26",6170000,490000
"56",1156501,0,0,1,"PICE","MAR","",100,1,"2003-JUL-01",6110000,640000
"57",1156501,0,1,1,"PICE","MAR","",100,1,"2017-JUN-12",6110000,640000
