"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"1",1004761,"2003-AUG-27",0,0.22,0.32,0.35,0,0,0
"2",1004761,"2016-AUG-18",1,0.27,0.39,0.39,0,0,0
"3",1011666,"2003-AUG-24",0,0,0,0,0,0,0
"4",1011666,"2016-AUG-23",1,0.69,1,1.44,0,0,0
"5",1011681,"2003-AUG-23",0,1.02,0.93,0.49,0.47,0.43,0.55
"6",1011681,"2015-AUG-24",1,1,0.91,0.6,0.56,0.81,0.48
"7",1011706,"2004-JUL-18",0,0.86,0.78,0.67,0.23,0.34,0.29
"8",1011706,"2015-AUG-24",1,0.85,0.78,0.74,0.64,0.92,0.56
"9",1018501,"2003-AUG-26",0,1.04,0.95,1.44,0,0,0
"10",1018501,"2016-AUG-17",1,1.33,0.96,1.67,0.3,0.44,0.42
"11",1018511,"2004-JUL-14",0,0.94,0.85,0.61,0.59,0.54,0.6
"12",1018511,"2016-AUG-18",1,0.81,0.74,0.61,0.78,0.71,0.61
"13",1018521,"2003-AUG-29",0,0.26,0.24,0.56,0,0,0
"14",1018521,"2016-AUG-19",1,0.16,0.23,0.3,0,0,0
"15",1018531,"2003-AUG-28",0,0,0,0,0,0,0
"16",1018531,"2016-AUG-20",1,0,0,0,0,0,0
"17",1018546,"2003-AUG-24",0,0,0,0,0,0,0
"18",1018546,"2009-JUL-27",1,0,0,0,0,0,0
"19",1018566,"2003-AUG-23",0,0,0,0,0,0,0
"20",1018566,"2009-JUL-27",1,0,0,0,0,0,0
"21",1025351,"2004-JUL-13",0,0,0,0,0,0,0
"22",1025351,"2018-AUG-17",1,0,0,0,0,0,0
"23",1025376,"2003-AUG-27",0,0,0,0,0.08,0.12,0.24
"24",1025421,"2003-AUG-25",0,0,0,0,0.39,0.35,0.44
"25",1025421,"2016-AUG-23",1,0.3,0.44,0.42,0.16,0.15,0.49
"26",1025501,"2003-AUG-19",0,0.23,0.34,0.36,0.11,0.15,0.26
"27",1025501,"2009-JUL-23",1,0.22,0.31,0.35,0,0,0
"28",1032241,"2004-JUL-14",0,0.11,0.15,0.22,0,0,0
"29",1032241,"2018-AUG-18",1,0.16,0.22,0.23,0,0,0
"30",1032286,"2003-AUG-28",0,0,0,0,0,0,0
"31",1032286,"2016-AUG-20",1,0,0,0,0,0,0
"32",1032316,"2004-JUL-17",0,0.07,0.1,0.23,0.68,0.99,0.38
"33",1032316,"2015-AUG-23",1,0,0,0,0,0,0
"34",1032381,"2003-AUG-19",0,0,0,0,0,0,0
"35",1032381,"2015-AUG-17",1,0.56,0.81,0.4,0,0,0
"36",1039166,"2004-JUL-15",0,0.69,1,0.28,1.31,0.82,1.09
"37",1039166,"2016-AUG-21",1,0,0,0,0,0,0
"38",1039171,"2003-AUG-30",0,0,0,0,0,0,0
"39",1039181,"2003-AUG-25",0,0.36,0.26,0.82,0.66,0.6,0.76
"40",1039181,"2016-AUG-22",1,0,0,0,0,0,0
"41",1039211,"2003-AUG-26",0,0.73,0.67,0.69,0.56,0.81,0.72
"42",1039211,"2009-JUL-26",1,0.73,0.67,0.69,0,0,0
"43",1046006,"2004-JUL-10",0,0,0,0,0.18,0.16,0.35
"44",1046006,"2017-AUG-13",1,0,0,0,0,0,0
"45",1046031,"2004-JUL-13",0,0,0,0,0,0,0
"46",1046031,"2017-AUG-15",1,0,0,0,0,0,0
"47",1046046,"2004-JUL-15",0,0.76,0.7,0.61,0.34,0.31,0.52
"48",1046046,"2009-JUL-28",1,0.82,0.74,0.65,0.3,0.28,0.54
"49",1046051,"2003-AUG-31",0,0.67,0.97,0.62,0.12,0.17,0.23
"50",1046051,"2016-AUG-22",1,0,0,0,0,0,0
"51",1046086,"2003-AUG-16",0,1.27,0.92,1.17,0.55,0.79,0.33
"52",1046086,"2015-AUG-22",1,1.21,0.87,1.02,0.45,0.64,0.21
"53",1052881,"2004-JUL-12",0,1.18,0.85,0.93,0,0,0
"54",1052881,"2017-AUG-14",1,1.16,0.84,0.94,0,0,0
"55",1052886,"2004-JUL-11",0,0,0,0,0,0,0
"56",1052886,"2017-AUG-14",1,0,0,0,0,0,0
"57",1052971,"2004-JUL-22",0,0.5,0.46,0.61,0.85,0.77,0.5
"58",1052971,"2015-AUG-15",1,0.49,0.45,0.54,0.86,0.78,0.49
"59",1052991,"2003-AUG-20",0,0.78,0.71,0.55,1,0.91,0.83
"60",1052991,"2009-JUL-26",1,0.8,0.73,0.56,0.69,0.63,0.78
"61",1053006,"2003-AUG-16",0,0,0,0,0,0,0
"62",1053006,"2015-AUG-18",1,0,0,0,0,0,0
"63",1053031,"2003-AUG-22",0,0.19,0.18,0.51,0,0,0
"64",1053031,"2009-JUL-24",1,0.18,0.16,0.5,0,0,0
"65",1059821,"2003-AUG-17",0,0.45,0.65,0.56,0,0,0
"66",1059821,"2015-AUG-23",1,0.45,0.65,0.56,0,0,0
"67",1059831,"2003-AUG-17",0,0.71,0.65,0.66,0.3,0.44,0.42
"68",1059831,"2015-AUG-22",1,0.75,0.54,0.97,0.27,0.39,0.39
"69",1059836,"2004-JUL-17",0,0,0,0,0,0,0
"70",1059836,"2015-AUG-21",1,0,0,0,0,0,0
"71",1059906,"2003-AUG-22",0,1.04,0.94,0.55,0.7,0.64,0.72
"72",1059906,"2015-AUG-17",1,0.97,0.89,0.5,0.5,0.72,0.43
"73",1066646,"2004-JUL-08",0,0.74,0.46,1.07,0.58,0.53,0.71
"74",1066646,"2017-AUG-09",1,0.19,0.28,0.33,0,0,0
