"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"1",1004761,0,0,1,"PICE","MAR","",95.3,0.941,"2003-AUG-27",6920000,630000
"2",1004761,0,0,2,"LARI","LAR","",4.7,0.059,"2003-AUG-27",6920000,630000
"3",1004761,0,1,1,"PICE","MAR","",94.6,0.923,"2016-AUG-18",6920000,630000
"4",1004761,0,1,2,"LARI","LAR","",5.4,0.077,"2016-AUG-18",6920000,630000
"5",1011666,0,0,1,"PICE","MAR","",100,1,"2003-AUG-24",6880000,420000
"6",1011666,0,1,1,"PICE","GLA","",73.7,0.5,"2016-AUG-23",6880000,420000
"7",1011666,0,1,2,"PICE","MAR","",26.3,0.5,"2016-AUG-23",6880000,420000
"8",1011706,0,0,3,"POPU","BAL","",1.9,0.05,"2004-JUL-18",6860000,580000
"9",1011706,0,1,1,"POPU","TRE","",51,0.6,"2015-AUG-24",6860000,580000
"10",1011706,0,1,2,"PINU","BAN","",44.9,0.333,"2015-AUG-24",6860000,580000
"11",1011706,0,1,3,"POPU","BAL","",4.1,0.067,"2015-AUG-24",6860000,580000
"12",1018501,0,0,1,"PICE","MAR","",51.9,0.5,"2003-AUG-26",6880000,550000
"13",1018501,0,0,2,"BETU","PAP","",27.7,0.25,"2003-AUG-26",6880000,550000
"14",1018501,0,0,3,"LARI","LAR","",20.4,0.25,"2003-AUG-26",6880000,550000
"15",1018501,0,1,1,"BETU","PAP","",50.4,0.333,"2016-AUG-17",6880000,550000
"16",1018501,0,1,2,"PICE","MAR","",25.2,0.333,"2016-AUG-17",6880000,550000
"17",1018501,0,1,3,"LARI","LAR","",15,0.167,"2016-AUG-17",6880000,550000
"18",1018501,0,1,4,"POPU","BAL","",9.4,0.167,"2016-AUG-17",6880000,550000
"19",1018511,0,0,1,"PICE","MAR","",53.7,0.556,"2004-JUL-14",6880000,590000
"20",1018511,0,0,2,"PICE","GLA","",27.8,0.333,"2004-JUL-14",6880000,590000
"21",1018511,0,0,3,"LARI","LAR","",18.4,0.111,"2004-JUL-14",6880000,590000
"22",1018511,0,1,1,"PICE","MAR","",65,0.667,"2016-AUG-18",6880000,590000
"23",1018511,0,1,2,"PICE","GLA","",21.8,0.259,"2016-AUG-18",6880000,590000
