"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","meas_date","utm_n","utm_e"
"1",1004761,0,0,1,"PICE","MAR","",100,1,"2003-AUG-27",6920000,630000
"2",1004761,0,1,1,"PICE","MAR","",100,1,"2016-AUG-18",6920000,630000
"3",1011666,0,0,1,"PICE","MAR","",100,1,"2003-AUG-24",6880000,420000
"4",1011666,0,1,1,"PICE","MAR","",100,1,"2016-AUG-23",6880000,420000
"5",1011681,0,0,1,"PICE","MAR","",78,0.872,"2003-AUG-23",6880000,480000
"6",1011681,0,0,2,"PICE","GLA","",12,0.077,"2003-AUG-23",6880000,480000
"7",1011681,0,0,3,"POPU","TRE","",10,0.051,"2003-AUG-23",6880000,480000
"8",1011681,0,1,1,"PICE","MAR","",70,0.75,"2015-AUG-24",6880000,480000
"9",1011681,0,1,2,"PICE","GLA","",30,0.25,"2015-AUG-24",6880000,480000
"10",1011706,0,1,1,"POPU","TRE","",99,0.667,"2015-AUG-24",6860000,580000
"11",1011706,0,1,2,"POPU","BAL","",1,0.333,"2015-AUG-24",6860000,580000
"12",1018501,0,0,1,"BETU","PAP","",100,1,"2003-AUG-26",6880000,550000
"13",1018501,0,1,1,"BETU","PAP","",100,0.909,"2016-AUG-17",6880000,550000
"14",1018501,0,1,2,"PICE","GLA","",0,0.091,"2016-AUG-17",6880000,550000
"15",1018511,0,0,1,"PICE","GLA","",66,0.821,"2004-JUL-14",6880000,590000
"16",1018511,0,1,1,"PICE","MAR","",86,0.63,"2016-AUG-18",6880000,590000
"17",1018511,0,1,2,"LARI","LAR","",12,0.333,"2016-AUG-18",6880000,590000
"18",1018511,0,1,3,"PICE","GLA","",3,0.037,"2016-AUG-18",6880000,590000
"19",1018521,0,0,1,"PICE","MAR","",100,1,"2003-AUG-29",6880000,630000
"20",1018521,0,1,1,"PICE","MAR","",100,1,"2016-AUG-19",6880000,630000
"21",1018531,0,1,1,"PICE","MAR","",100,1,"2016-AUG-20",6870000,360000
"22",1018546,0,0,1,"PINU","BAN","",100,1,"2003-AUG-24",6870000,420000
"23",1018546,0,1,1,"PINU","BAN","",100,1,"2009-JUL-27",6870000,420000
"24",1018566,0,0,1,"PICE","MAR","",100,1,"2003-AUG-23",6860000,490000
"25",1018566,0,1,1,"PICE","MAR","",100,1,"2009-JUL-27",6860000,490000
"26",1025351,0,0,1,"PICE","MAR","",100,1,"2004-JUL-13",6860000,430000
"27",1025351,0,1,1,"PICE","MAR","",100,1,"2018-AUG-17",6860000,430000
"28",1025376,0,0,1,"PICE","MAR","",97,0.984,"2003-AUG-27",6860000,530000
"29",1025376,0,0,2,"POPU","BAL","",3,0.016,"2003-AUG-27",6860000,530000
