"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"1",1183821,0,0,1,"POPU","TRE",NA,96.4,0.972,"2004-JUL-20",6290000,600000
"2",1183821,0,0,2,"BETU","PAP",NA,3.6,0.028,"2004-JUL-20",6290000,600000
"3",1183821,0,1,1,"POPU","TRE",NA,100,1,"2014-AUG-12",6290000,600000
"4",1197591,0,0,1,"PINU","BAN",NA,81.2,0.85,"2004-JUL-21",6240000,630000
"5",1197591,0,0,2,"PICE","MAR",NA,18.8,0.15,"2004-JUL-21",6240000,630000
"6",1211411,0,0,1,"PICE","MAR",NA,100,1,"2004-AUG-10",6140000,480000
"7",1211411,0,1,1,"PICE","MAR",NA,85.4,0.897,"2009-AUG-29",6140000,480000
"8",1211411,0,1,2,"LARI","LAR",NA,12.3,0.069,"2009-AUG-29",6140000,480000
"9",1211411,0,1,3,"PINU","BAN",NA,1.3,0.017,"2009-AUG-29",6140000,480000
"10",1211411,0,1,4,"POPU","TRE",NA,1,0.017,"2009-AUG-29",6140000,480000
"11",1211411,0,2,1,"PICE","MAR",NA,82.5,0.9,"2019-AUG-26",6140000,480000
"12",1211411,0,2,2,"LARI","LAR",NA,15.4,0.067,"2019-AUG-26",6140000,480000
"13",1211411,0,2,3,"PINU","BAN",NA,1.2,0.017,"2019-AUG-26",6140000,480000
"14",1211411,0,2,4,"POPU","TRE",NA,0.9,0.017,"2019-AUG-26",6140000,480000
"15",1225141,0,0,1,"PICE","MAR",NA,85.8,0.875,"2004-JUL-27",6130000,350000
"16",1225141,0,0,2,"LARI","LAR",NA,14.2,0.125,"2004-JUL-27",6130000,350000
"17",1225141,0,1,1,"PICE","MAR",NA,75.9,0.789,"2011-JUL-14",6130000,350000
"18",1225141,0,1,2,"LARI","LAR",NA,24.1,0.211,"2011-JUL-14",6130000,350000
"19",1225161,0,0,1,"PICE","MAR",NA,81.7,0.925,"2003-SEP-13",6110000,430000
"20",1225161,0,0,2,"LARI","LAR",NA,18.3,0.075,"2003-SEP-13",6110000,430000
"21",1225161,0,1,1,"PICE","MAR",NA,80.9,0.925,"2009-AUG-29",6110000,430000
"22",1225161,0,1,2,"LARI","LAR",NA,19.1,0.075,"2009-AUG-29",6110000,430000
"23",1225161,0,2,1,"PICE","MAR",NA,78.7,0.927,"2019-AUG-28",6110000,430000
"24",1225161,0,2,2,"LARI","LAR",NA,21.3,0.073,"2019-AUG-28",6110000,430000
"25",1225181,0,0,1,"PICE","MAR",NA,100,1,"2003-SEP-15",6080000,510000
"26",1225181,0,1,1,"PICE","MAR",NA,100,1,"2012-AUG-11",6080000,510000
"27",1225201,0,0,1,"PINU","BAN",NA,100,1,"2003-SEP-26",6060000,580000
"28",1225201,0,1,1,"PINU","BAN",NA,100,1,"2009-AUG-30",6060000,580000
"29",1225201,0,2,1,"PINU","BAN",NA,100,1,"2019-AUG-27",6060000,580000
"30",1238891,0,0,1,"PICE","MAR",NA,97.3,0.955,"2004-JUL-27",6110000,690000
"31",1238891,0,0,2,"PINU","BAN",NA,2.7,0.045,"2004-JUL-27",6110000,690000
"32",1238891,0,1,1,"PICE","MAR",NA,96.1,0.939,"2012-AUG-07",6110000,690000
"33",1238891,0,1,2,"PINU","BAN",NA,3.9,0.061,"2012-AUG-07",6110000,690000
"34",1238901,0,0,1,"PICE","MAR",NA,62.4,0.655,"2004-JUL-28",6090000,340000
"35",1238901,0,0,2,"PINU","BAN",NA,37.6,0.345,"2004-JUL-28",6090000,340000
"36",1238901,0,1,1,"PICE","MAR",NA,66.8,0.69,"2014-AUG-11",6090000,340000
"37",1238901,0,1,2,"PINU","BAN",NA,33.2,0.31,"2014-AUG-11",6090000,340000
"38",1238911,0,0,1,"LARI","LAR",NA,100,1,"2006-SEP-09",6080000,380000
"39",1238911,0,1,1,"LARI","LAR",NA,100,1,"2011-JUL-15",6080000,380000
"40",1238931,0,0,5,"SALI","SPP",NA,1.6,0.05,"2006-SEP-08",6060000,460000
"41",1238931,0,1,3,"POPU","BAL",NA,7.8,0.056,"2012-AUG-10",6060000,460000
"42",1238941,0,0,1,"POPU","TRE",NA,89.3,0.824,"2003-SEP-27",6050000,490000
"43",1238941,0,0,2,"PINU","BAN",NA,10.7,0.176,"2003-SEP-27",6050000,490000
"44",1238941,0,1,1,"POPU","TRE",NA,96.2,0.925,"2013-SEP-02",6050000,490000
"45",1238941,0,1,2,"PINU","BAN",NA,3.8,0.075,"2013-SEP-02",6050000,490000
"46",1238951,0,0,1,"PICE","MAR",NA,100,1,"2004-SEP-11",6030000,530000
"47",1238951,0,1,1,"PICE","MAR",NA,100,1,"2009-AUG-26",6040000,530000
"48",1238951,0,2,1,"PICE","MAR",NA,100,1,"2018-JUL-26",6040000,530000
"49",1252671,0,0,1,"LARI","LAR",NA,72.5,0.571,"2004-JUL-18",6040000,370000
"50",1252671,0,0,2,"PICE","MAR",NA,27.5,0.429,"2004-JUL-18",6040000,370000
"51",1252691,0,0,1,"POPU","TRE",NA,60.9,0.442,"2003-AUG-29",6020000,440000
"52",1252701,0,0,1,"PICE","MAR",NA,63.4,0.707,"2003-SEP-12",6010000,480000
"53",1252701,0,0,2,"PINU","BAN",NA,36.6,0.293,"2003-SEP-12",6010000,480000
"54",1252701,0,1,1,"PICE","MAR",NA,63.4,0.722,"2009-AUG-27",6010000,480000
"55",1252701,0,1,2,"PINU","BAN",NA,30.8,0.259,"2009-AUG-27",6010000,480000
"56",1252701,0,1,3,"POPU","TRE",NA,5.7,0.019,"2009-AUG-27",6010000,480000
"57",1252701,0,2,1,"PICE","MAR",NA,56.5,0.641,"2018-JUL-25",6010000,480000
"58",1252701,0,2,2,"PINU","BAN",NA,35.3,0.333,"2018-JUL-25",6010000,480000
