"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","meas_date","utm_n","utm_e"
"1",1156291,0,0,1,"PINU","BAN",NA,100,1,"2004-JUL-19",6370000,580000
"2",1156291,0,1,1,"PINU","BAN",NA,100,1,"2016-SEP-07",6370000,580000
"3",1211411,0,0,3,"SALI","SPP",NA,2,0.018,"2004-AUG-10",6140000,480000
"4",1211411,0,1,1,"PICE","MAR",NA,95,0.714,"2009-AUG-29",6140000,480000
"5",1211411,0,2,1,"PICE","MAR",NA,100,1,"2019-AUG-26",6140000,480000
"6",1225141,0,0,1,"PICE","MAR",NA,100,0.979,"2004-JUL-27",6130000,350000
"7",1225141,0,0,2,"SALI","SPP",NA,1,0.021,"2004-JUL-27",6130000,350000
"8",1225141,0,1,1,"PICE","MAR",NA,100,1,"2011-JUL-14",6130000,350000
"9",1225151,0,0,1,"SALI","SPP",NA,84,0.84,"2003-SEP-14",6120000,390000
"10",1225151,0,0,2,"PINU","BAN",NA,16,0.16,"2003-SEP-14",6120000,390000
"11",1225151,0,1,1,"PINU","BAN",NA,100,1,"2014-AUG-10",6120000,390000
"12",1225161,0,0,1,"PICE","MAR",NA,100,1,"2003-SEP-13",6110000,430000
"13",1225161,0,1,1,"PICE","MAR",NA,100,1,"2009-AUG-29",6110000,430000
"14",1225161,0,2,1,"PICE","MAR",NA,100,1,"2019-AUG-28",6110000,430000
"15",1225181,0,0,1,"PICE","MAR",NA,100,1,"2003-SEP-15",6080000,510000
"16",1225181,0,1,1,"PICE","MAR",NA,100,1,"2012-AUG-11",6080000,510000
"17",1225201,0,0,1,"PINU","BAN",NA,100,1,"2003-SEP-26",6060000,580000
"18",1225201,0,1,1,"PINU","BAN",NA,100,1,"2009-AUG-30",6060000,580000
"19",1238891,0,0,1,"PICE","MAR",NA,87,0.88,"2004-JUL-27",6110000,690000
"20",1238891,0,0,2,"PINU","BAN",NA,13,0.108,"2004-JUL-27",6110000,690000
