"","nfi_plot","meas_date","NFI_species","utm_n","utm_e","biomass_composition"
"1",1100891,"2003-JUN-30","ABIE LAS ",6620000,540000,668.66505
"2",1100891,"2003-JUN-30","PICE SPP ",6620000,540000,368.02495
"3",1100891,"2021-JUL-18","ABIE LAS ",6620000,540000,883.44016
"4",1100891,"2021-JUL-18","PICE SPP ",6620000,540000,400.62984
"5",1100951,"2005-JUL-13","PICE GLA ",6640000,440000,2808.06836
"6",1100951,"2005-JUL-13","POPU TRE ",6640000,440000,176.26584
"7",1100951,"2020-AUG-07","PICE GLA ",6640000,440000,3719.48577
"8",1100951,"2020-AUG-07","POPU TRE ",6640000,440000,212.27163
"9",1100981,"2003-JUL-21","BETU NEO ",6640000,560000,402.01989
"10",1100981,"2003-JUL-21","PICE SPP ",6640000,560000,6188.47011
"11",1100996,"2003-JUL-19","PICE MAR ",6650000,620000,132.75009
"12",1100996,"2003-JUL-19","PICE SPP ",6650000,620000,545.95911
"13",1100996,"2003-JUL-19","PINU CON ",6650000,620000,3379.0932
"14",1100996,"2020-AUG-21","PICE MAR ",6650000,620000,1365.05876
"15",1100996,"2020-AUG-21","PINU CON LAT",6650000,620000,3731.61504
"16",1101001,"2005-JUL-11","BETU NEO ",6650000,640000,42.25
"17",1101001,"2020-AUG-15","BETU WIN ",6650000,640000,56.579544
"18",1101001,"2020-AUG-15","PINU CON LAT",6650000,640000,10.777056
"19",1101011,"2003-JUL-18","ABIE LAS ",6650000,340000,167.2778
"20",1101011,"2003-JUL-18","PICE SPP ",6650000,340000,1274.7722
"21",1101011,"2020-JUL-19","ABIE LAS ",6650000,340000,306.28964
"22",1101011,"2020-JUL-19","PICE GLA ",6650000,340000,1124.97036
"23",1101036,"2004-AUG-16","BETU SPP ",6640000,440000,143.572
"24",1101036,"2004-AUG-16","PICE GLA ",6640000,440000,5599.308
"25",1101036,"2020-JUL-18","PICE GLA ",6640000,440000,4369.80786
"26",1107841,"2003-JUL-16","PICE SPP ",6620000,480000,4954.22284
"27",1107841,"2003-JUL-16","PINU CON ",6620000,480000,692.4525
"28",1107841,"2020-AUG-08","PICE GLA ",6620000,480000,843.91532
"29",1107841,"2020-AUG-08","PICE MAR ",6620000,480000,3279.81914
"30",1107841,"2020-AUG-08","PINU CON LAT",6620000,480000,661.67614
"31",1107881,"2001-AUG-19","PICE GLA ",6630000,640000,37.168752
"32",1107881,"2001-AUG-19","PICE MAR ",6630000,640000,100.69003
"33",1107881,"2001-AUG-19","PINU CON ",6630000,640000,1003.330418
"34",1107881,"2020-AUG-10","PICE MAR ",6630000,640000,958.391614
"35",1107881,"2020-AUG-10","PINU CON LAT",6630000,640000,2674.996986
"36",1107901,"2001-JUL-14","ABIE LAS ",6630000,380000,346.862692
"37",1107901,"2001-JUL-14","PICE ENG GLA",6630000,380000,970.51074
"38",1107901,"2001-JUL-14","POPU BAL ",6630000,380000,3.794968
"39",1107901,"2020-JUL-20","ABIE LAS ",6630000,380000,481.142952
"40",1107901,"2020-JUL-20","PICE ENG GLA",6630000,380000,1520.604528
"41",1107901,"2020-JUL-20","PICE MAR ",6630000,380000,4.248804
"42",1107901,"2020-JUL-20","POPU BAL ",6630000,380000,1.820916
"43",1107906,"2004-AUG-19","ABIE LAS ",6630000,4e+05,2.982
"44",1107906,"2004-AUG-19","BETU PAP ",6630000,4e+05,2272.89992
"45",1107906,"2004-AUG-19","PICE MAR ",6630000,4e+05,4611.81768
"46",1107906,"2004-AUG-19","PINU CON ",6630000,4e+05,2546.4024
"47",1107906,"2020-JUL-23","ABIE LAS ",6630000,4e+05,110.72782
"48",1107906,"2020-JUL-23","BETU PAP ",6630000,4e+05,3869.62004
"49",1107906,"2020-JUL-23","PICE MAR ",6630000,4e+05,7360.39616
"50",1107906,"2020-JUL-23","PINU CON ",6630000,4e+05,2205.41282
"51",1107921,"2001-JUL-16","LARI LAR ",6620000,460000,63.238806
"52",1107921,"2001-JUL-16","PICE MAR ",6620000,460000,258.624794
"53",1107921,"2020-JUL-15","LARI LAR ",6620000,460000,69.585436
"54",1107921,"2020-JUL-15","PICE MAR ",6620000,460000,190.168464
"55",1114666,"2002-JUL-30","PICE SPP ",6590000,6e+05,379.83
"56",1114726,"2002-JUL-28","PICE SPP ",6600000,5e+05,318.08567
"57",1114726,"2002-JUL-28","PINU CON ",6600000,5e+05,1421.798333
"58",1114726,"2020-AUG-09","PICE GLA ",6600000,5e+05,754.920871
"59",1114726,"2020-AUG-09","PICE MAR ",6600000,5e+05,23.96128
"60",1114726,"2020-AUG-09","PINU CON LAT",6600000,5e+05,2253.988221
"61",1114726,"2020-AUG-09","POPU TRE ",6600000,5e+05,7.182928
"62",1114741,"2005-JUL-09","PICE GLA ",6600000,560000,24.006861
"63",1114741,"2005-JUL-09","PICE MAR ",6600000,560000,3743.244113
"64",1114741,"2005-JUL-09","PINU CON LAT",6600000,560000,128.97536
"65",1114741,"2005-JUL-09","POPU BAL ",6600000,560000,261.869085
"66",1114741,"2020-AUG-17","PICE MAR ",6600000,560000,3410.10436
"67",1114741,"2020-AUG-17","POPU BAL ",6600000,560000,682.52922
"68",1114761,"2005-JUL-07","BETU PAP ",6610000,640000,1139.076424
"69",1114761,"2005-JUL-07","PICE GLA ",6610000,640000,4018.459816
"70",1114761,"2005-JUL-07","PICE MAR ",6610000,640000,633.96706
"71",1114761,"2020-AUG-12","BETU PAP ",6610000,640000,5.143644
"72",1114761,"2020-AUG-12","PICE GLA ",6610000,640000,3058.95936
"73",1114771,"2002-JUL-11","PINU CON LAT",6610000,340000,64.7252
"74",1114771,"2020-JUL-22","ABIE LAS ",6610000,340000,5.90759
"75",1114771,"2020-JUL-22","PICE GLA ",6610000,340000,14.66712
"76",1114846,"2002-JUL-15","PICE GLA ",6600000,640000,816.6128
"77",1114846,"2002-JUL-15","POPU TRE ",6600000,640000,3439.988175
"78",1114846,"2019-JUL-15","PICE GLA ",6600000,640000,2495.47612
"79",1114846,"2019-JUL-15","POPU TRE ",6600000,640000,4165.79841
"80",1114846,"2019-JUL-15","PSEU MEN GLA",6600000,640000,46.95747
"81",1121576,"2001-AUG-21","ABIE LAS ",6580000,380000,3784.8001
"82",1121576,"2021-AUG-17","ABIE LAS ",6580000,380000,3634.3521
"83",1121621,"2001-AUG-24","PICE GLA ",6580000,560000,4234.53399
