"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","meas_date","utm_n","utm_e"
"1",1100951,0,0,1,"POPU","TRE","",100,1,"2005-JUL-13",6640000,440000
"2",1100951,0,1,1,"POPU","TRE","",100,1,"2020-AUG-07",6640000,440000
"3",1100996,0,0,1,"PICE","SPP","",100,1,"2003-JUL-19",6650000,620000
"4",1100996,0,1,1,"PICE","MAR","",100,1,"2020-AUG-21",6650000,620000
"5",1101001,0,0,1,"BETU","NEO","",100,1,"2005-JUL-11",6650000,640000
"6",1101001,0,1,1,"BETU","WIN","",84,0.917,"2020-AUG-15",6650000,640000
"7",1101001,0,1,2,"PINU","CON","LAT",16,0.083,"2020-AUG-15",6650000,640000
"8",1107841,0,0,1,"PICE","SPP","",100,1,"2003-JUL-16",6620000,480000
"9",1107841,0,1,1,"PICE","GLA","",100,1,"2020-AUG-08",6620000,480000
"10",1107881,0,0,1,"PINU","CON","",94,0.979,"2001-AUG-19",6630000,640000
"11",1107881,0,0,2,"PICE","GLA","",6,0.021,"2001-AUG-19",6630000,640000
"12",1107881,0,1,1,"PINU","CON","LAT",81,0.762,"2020-AUG-10",6630000,640000
"13",1107881,0,1,2,"PICE","MAR","",19,0.238,"2020-AUG-10",6630000,640000
"14",1107901,0,0,1,"PICE","ENG","GLA",75,0.667,"2001-JUL-14",6630000,380000
"15",1107901,0,0,2,"ABIE","LAS","",23,0.222,"2001-JUL-14",6630000,380000
"16",1107901,0,0,3,"POPU","BAL","",2,0.111,"2001-JUL-14",6630000,380000
"17",1107901,0,1,1,"PICE","ENG","GLA",64,0.556,"2020-JUL-20",6630000,380000
"18",1107901,0,1,2,"ABIE","LAS","",26,0.222,"2020-JUL-20",6630000,380000
"19",1107901,0,1,3,"PICE","MAR","",7,0.111,"2020-JUL-20",6630000,380000
"20",1107901,0,1,4,"POPU","BAL","",3,0.111,"2020-JUL-20",6630000,380000
"21",1107906,0,0,1,"ABIE","LAS","",100,1,"2004-AUG-19",6630000,400000
"22",1107906,0,1,1,"ABIE","LAS","",100,1,"2020-JUL-23",6630000,400000
"23",1107921,0,0,1,"PICE","MAR","",94,0.744,"2001-JUL-16",6620000,460000
"24",1107921,0,0,2,"LARI","LAR","",6,0.256,"2001-JUL-16",6620000,460000
"25",1107921,0,1,1,"PICE","MAR","",96,0.821,"2020-JUL-15",6620000,460000
"26",1107921,0,1,2,"LARI","LAR","",4,0.179,"2020-JUL-15",6620000,460000
"27",1114726,0,0,1,"PINU","CON","",71,0.639,"2002-JUL-28",6600000,500000
"28",1114726,0,1,1,"PINU","CON","LAT",57,0.75,"2020-AUG-09",6600000,500000
"29",1114726,0,1,2,"PICE","GLA","",27,0.125,"2020-AUG-09",6600000,500000
"30",1114726,0,1,3,"POPU","TRE","",16,0.125,"2020-AUG-09",6600000,500000
"31",1114741,0,0,1,"PICE","MAR","",47,0.455,"2005-JUL-09",6600000,560000
"32",1114741,0,0,2,"POPU","BAL","",35,0.364,"2005-JUL-09",6600000,560000
"33",1114741,0,0,3,"PICE","GLA","",19,0.182,"2005-JUL-09",6600000,560000
"34",1114741,0,1,1,"POPU","BAL","",54,0.8,"2020-AUG-17",6600000,560000
"35",1114741,0,1,2,"PICE","MAR","",46,0.2,"2020-AUG-17",6600000,560000
"36",1114761,0,0,1,"BETU","PAP","",92,0.977,"2005-JUL-07",6610000,640000
"37",1114761,0,0,2,"PICE","GLA","",8,0.023,"2005-JUL-07",6610000,640000
"38",1114761,0,1,2,"BETU","PAP","",36,0.333,"2020-AUG-12",6610000,640000
"39",1114771,0,0,1,"PINU","CON","LAT",100,1,"2002-JUL-11",6610000,340000
"40",1114771,0,1,1,"PICE","GLA","",72,0.6,"2020-JUL-22",6610000,340000
"41",1114771,0,1,2,"ABIE","LAS","",29,0.4,"2020-JUL-22",6610000,340000
"42",1114846,0,0,1,"POPU","TRE","",69,0.667,"2002-JUL-15",6600000,640000
"43",1114846,0,0,2,"PICE","GLA","",32,0.333,"2002-JUL-15",6600000,640000
"44",1114846,0,1,1,"PICE","GLA","",100,1,"2019-JUL-15",6600000,640000
"45",1121576,0,0,1,"ABIE","LAS","",100,1,"2001-AUG-21",6580000,380000
"46",1121576,0,1,1,"ABIE","LAS","",100,1,"2021-AUG-17",6580000,380000
