"","nfi_plot","meas_date","NFI_species","utm_n","utm_e","biomass_composition"
"1",1101411,"2004-JUL-25","SALI SPP  ",6330000,520000,49.687209
"2",1101411,"2016-AUG-30","BETU PAP PAP",6330000,520000,0.886683
"3",1101411,"2016-AUG-30","PICE MAR  ",6330000,520000,11.780217
"4",1108316,"2004-JUL-11","PICE MAR  ",6270000,6e+05,450.4658
"5",1108316,"2015-AUG-09","PICE MAR  ",6270000,6e+05,520.4974
"6",1108326,"2004-JUL-10","PICE MAR  ",6260000,640000,122.363948
"7",1108326,"2004-JUL-10","POPU TRE  ",6260000,640000,1.261484
"8",1108326,"2004-JUL-10","SALI SCO  ",6260000,640000,2.522968
"9",1108326,"2015-AUG-08","PICE MAR  ",6260000,640000,178.682724
"10",1108326,"2015-AUG-08","POPU TRE  ",6260000,640000,1.804876
"11",1115226,"2004-JUL-08","PICE MAR  ",6210000,330000,680.8512
"12",1115226,"2010-JUN-27","PICE MAR  ",6210000,330000,774.028
"13",1128906,"2004-JUL-23","PICE MAR  ",6290000,390000,155.6367
"14",1128906,"2010-JUL-11","PICE MAR  ",6290000,390000,242.7121
"15",1128926,"2004-JUL-11","PICE MAR  ",6260000,470000,7300.332
"16",1128926,"2004-JUL-11","PINU BAN  ",6260000,470000,187.188
"17",1128926,"2010-JUL-08","PICE MAR  ",6260000,470000,8203.91325
"18",1128926,"2010-JUL-08","PINU BAN  ",6260000,470000,210.35675
"19",1128941,"2003-JUL-06","PICE MAR  ",6240000,520000,187.0853
"20",1128956,"2003-JUL-04","LARI LAR  ",6220000,580000,2.997258
"21",1128956,"2003-JUL-04","PICE MAR  ",6220000,580000,7.765623
"22",1128956,"2003-JUL-04","PINU BAN  ",6220000,580000,2.316063
"23",1128956,"2003-JUL-04","POPU TRE  ",6220000,580000,0.681195
"24",1128956,"2010-JUN-25","LARI LAR  ",6220000,580000,4.68545
"25",1128956,"2010-JUN-25","PICE MAR  ",6220000,580000,10.30799
"26",1128956,"2010-JUN-25","PINU BAN  ",6220000,580000,3.373524
"27",1128956,"2010-JUN-25","POPU TRE  ",6220000,580000,0.374836
"28",1128976,"2004-JUL-08","LARI LAR  ",6190000,650000,15.229305
"29",1128976,"2010-JUN-26","LARI LAR  ",6190000,650000,18.390998
"30",1128976,"2010-JUN-26","PICE MAR  ",6190000,650000,6.461702
"31",1135821,"2003-JUL-06","LARI LAR  ",6220000,520000,5.404244
"32",1135821,"2003-JUL-06","PICE MAR  ",6220000,520000,129.701856
"33",1135821,"2016-AUG-27","PINU BAN  ",6220000,520000,61.7267
"34",1135826,"2003-JUL-01","PICE MAR  ",6210000,530000,3617.39218
"35",1135826,"2003-JUL-01","PINU BAN  ",6210000,530000,173.22604
"36",1135826,"2003-JUL-01","POPU BAL  ",6210000,530000,100.28876
"37",1135826,"2003-JUL-01","POPU TRE  ",6210000,530000,702.02132
"38",1135826,"2010-JUN-23","PICE MAR  ",6210000,530000,3796.07393
"39",1135826,"2010-JUN-23","PINU BAN  ",6210000,530000,102.07113
"40",1135826,"2010-JUN-23","POPU BAL  ",6210000,530000,145.8159
"41",1135826,"2010-JUN-23","POPU TRE  ",6210000,530000,821.42957
"42",1135876,"2003-AUG-16","BETU PAP  ",6140000,340000,1.925856
"43",1135876,"2003-AUG-16","PICE MAR  ",6140000,340000,14.122944
"44",1135876,"2017-JUN-08","BETU PAP PAP",6140000,720000,0.500022
"45",1135876,"2017-JUN-08","PICE MAR  ",6140000,720000,24.501078
"46",1142656,"2004-JUL-22","PICE MAR  ",6270000,340000,2001.45035
"47",1142656,"2004-JUL-22","PINU BAN  ",6270000,340000,725.41425
"48",1142656,"2010-JUL-10","PICE MAR  ",6270000,340000,2309.85292
"49",1142656,"2010-JUL-10","PINU BAN  ",6270000,340000,661.14528
"50",1149546,"2004-JUL-22","PICE MAR  ",6240000,370000,4139.16235
