"","nfi_plot","meas_date","biomass_total","meas_num","species_num","genus","species","variety","percent","species_rel","utm_n","utm_e","percent/100 * biomass_total"
"1",1101411,"2004-JUL-25",50.1891,0,1,"SALI","SPP",NA,99,0.933,6330000,520000,49.687209
"2",1101411,"2016-AUG-30",12.6669,1,2,"BETU","PAP","PAP",7,0.036,6330000,520000,0.886683
"3",1101411,"2016-AUG-30",12.6669,1,1,"PICE","MAR",NA,93,0.964,6330000,520000,11.780217
"4",1108316,"2004-JUL-11",181.9258,0,1,"PICE","MAR",NA,100,1,6270000,6e+05,181.9258
"5",1108316,"2015-AUG-09",96.1374,1,1,"PICE","MAR",NA,100,1,6270000,6e+05,96.1374
"6",1108326,"2004-JUL-10",126.1484,0,1,"PICE","MAR",NA,97,0.883,6260000,640000,122.363948
"7",1108326,"2004-JUL-10",126.1484,0,3,"POPU","TRE",NA,1,0.032,6260000,640000,1.261484
"8",1108326,"2004-JUL-10",126.1484,0,2,"SALI","SCO",NA,2,0.085,6260000,640000,2.522968
"9",1108326,"2015-AUG-08",180.4876,1,2,"POPU","TRE",NA,1,0.022,6260000,640000,1.804876
"10",1108326,"2015-AUG-08",180.4876,1,1,"PICE","MAR",NA,99,0.978,6260000,640000,178.682724
"11",1115226,"2004-JUL-08",154.3412,0,1,"PICE","MAR",NA,100,1,6210000,330000,154.3412
"12",1115226,"2010-JUN-27",146.878,1,1,"PICE","MAR",NA,100,1,6210000,330000,146.878
"13",1128906,"2004-JUL-23",73.0067,0,1,"PICE","MAR",NA,100,1,6290000,390000,73.0067
"14",1128906,"2010-JUL-11",76.3221,1,1,"PICE","MAR",NA,100,1,6290000,390000,76.3221
"15",1128941,"2003-JUL-06",162.9253,0,1,"PICE","MAR",NA,100,1,6240000,520000,162.9253
"16",1128956,"2003-JUL-04",13.6239,0,4,"POPU","TRE",NA,5,0.083,6220000,580000,0.681195
"17",1128956,"2003-JUL-04",13.6239,0,3,"PINU","BAN",NA,17,0.083,6220000,580000,2.316063
"18",1128956,"2003-JUL-04",13.6239,0,1,"PICE","MAR",NA,57,0.75,6220000,580000,7.765623
"19",1128956,"2003-JUL-04",13.6239,0,2,"LARI","LAR",NA,22,0.083,6220000,580000,2.997258
"20",1128956,"2010-JUN-25",18.7418,1,1,"PICE","MAR",NA,55,0.824,6220000,580000,10.30799
"21",1128956,"2010-JUN-25",18.7418,1,4,"POPU","TRE",NA,2,0.059,6220000,580000,0.374836
"22",1128956,"2010-JUN-25",18.7418,1,2,"LARI","LAR",NA,25,0.059,6220000,580000,4.68545
"23",1128956,"2010-JUN-25",18.7418,1,3,"PINU","BAN",NA,18,0.059,6220000,580000,3.373524
"24",1128976,"2004-JUL-08",23.4297,0,1,"LARI","LAR",NA,65,0.483,6190000,650000,15.229305
"25",1128976,"2010-JUN-26",24.8527,1,2,"PICE","MAR",NA,26,0.25,6190000,650000,6.461702
"26",1128976,"2010-JUN-26",24.8527,1,1,"LARI","LAR",NA,74,0.75,6190000,650000,18.390998
"27",1135821,"2003-JUL-06",135.1061,0,1,"PICE","MAR",NA,96,0.727,6220000,520000,129.701856
"28",1135821,"2003-JUL-06",135.1061,0,2,"LARI","LAR",NA,4,0.273,6220000,520000,5.404244
"29",1135821,"2016-AUG-27",61.7267,1,1,"PINU","BAN",NA,100,1,6220000,520000,61.7267
