"","nfi_plot","meas_date","NFI_species","utm_n","utm_e","biomass_composition"
"1",812056,"2005-AUG-08","PICE GLA  ",7480000,4e+05,682.8608
"2",812056,"2005-AUG-08","PICE MAR  ",7480000,4e+05,59.3792
"3",812056,"2005-AUG-08","SALI PLA  ",7480000,4e+05,1.522455
"4",812056,"2005-AUG-08","SALI SPP  ",7480000,4e+05,1.217964
"5",812056,"2021-JUL-17","PICE GLA  ",7480000,4e+05,642.07175
"6",812056,"2021-JUL-17","PICE MAR  ",7480000,4e+05,51.63075
"7",839566,"2005-AUG-08","PICE GLA  ",7400000,620000,626.94
"8",839566,"2021-JUL-19","PICE GLA  ",7400000,620000,748.87
"9",846436,"2005-AUG-12","BETU GLA  ",7380000,580000,0.441825
"10",846436,"2005-AUG-12","PICE MAR  ",7380000,580000,138.400675
"11",846436,"2021-JUL-19","PICE MAR  ",7380000,580000,160.0654
"12",846466,"2005-AUG-10","LARI LAR  ",7380000,430000,38.0259
"13",846466,"2005-AUG-10","PICE GLA  ",7380000,430000,237.5241
"14",846466,"2021-JUL-20","LARI LAR  ",7380000,430000,106.4353
"15",846466,"2021-JUL-20","PICE GLA  ",7380000,430000,282.0147
"16",853296,"2005-AUG-13","PICE GLA  ",7360000,510000,130.84633
"17",853296,"2005-AUG-13","PICE MAR  ",7360000,510000,0.739545
"18",853296,"2021-JUL-21","LARI LAR  ",7360000,510000,393.189195
"19",853296,"2021-JUL-21","PICE GLA  ",7360000,510000,782.94789
"20",853296,"2021-JUL-21","PICE MAR  ",7360000,510000,27.35262
"21",853296,"2021-JUL-21","POPU TRE  ",7360000,510000,0.759795
"22",853326,"2005-AUG-12","LARI LAR  ",7360000,620000,19.603215
"23",853326,"2005-AUG-12","PICE GLA  ",7360000,620000,279.6
"24",853326,"2005-AUG-12","PICE MAR  ",7360000,620000,20.038842
"25",853326,"2021-JUL-18","LARI LAR  ",7360000,620000,18.8592
"26",853326,"2021-JUL-18","PICE GLA  ",7360000,620000,300.07839
"27",853346,"2005-AUG-09","ALNU CRI  ",7360000,430000,0.284695
"28",853346,"2005-AUG-09","LARI LAR  ",7360000,430000,21.77274
"29",853346,"2005-AUG-09","PICE GLA  ",7360000,430000,665.053285
"30",853346,"2005-AUG-09","PICE MAR  ",7360000,430000,0.284695
"31",853346,"2005-AUG-09","SALI SPP  ",7360000,430000,0.854085
"32",853346,"2021-JUL-20","PICE GLA  ",7360000,430000,475.6448
"33",860171,"2006-JUL-26","PICE GLA  ",7330000,490000,0.30909
"34",860171,"2006-JUL-26","PICE MAR  ",7330000,490000,9.99391
"35",860171,"2021-JUL-21","PICE MAR  ",7330000,490000,54.5923
"36",867091,"2005-AUG-07","BETU GLA  ",7320000,370000,2.293914
"37",867091,"2005-AUG-07","LARI LAR  ",7320000,370000,0.382319
"38",867091,"2005-AUG-07","PICE GLA  ",7320000,370000,78.66
"39",867091,"2005-AUG-07","SALI PLA  ",7320000,370000,0.764638
"40",867091,"2005-AUG-07","SALI SPP  ",7320000,370000,1.146957
"41",867091,"2021-JUL-17","LARI LAR  ",7320000,370000,11.580765
"42",867091,"2021-JUL-17","PICE GLA  ",7320000,370000,104.41102
"43",867091,"2021-JUL-17","PICE MAR  ",7320000,370000,50.955366
"44",873921,"2006-JUL-24","LARI LAR  ",7290000,450000,10.619784
"45",873921,"2006-JUL-24","PICE MAR  ",7290000,450000,100.249016
"46",873921,"2021-JUL-16","LARI LAR  ",7290000,450000,16.600311
"47",873921,"2021-JUL-16","PICE MAR  ",7290000,450000,133.678789
"48",873961,"2005-AUG-01","PICE GLA  ",7300000,610000,234.55848
"49",873961,"2005-AUG-01","PICE MAR  ",7300000,610000,139.119408
"50",873961,"2005-AUG-01","PICE SPP  ",7300000,610000,0.635664
"51",873961,"2019-AUG-03","LARI LAR  ",7300000,610000,8.12155
"52",873961,"2019-AUG-03","PICE GLA  ",7300000,610000,293.95497
"53",873961,"2019-AUG-03","PICE MAR  ",7300000,610000,118.79848
"54",874051,"2006-JUL-30","PICE GLA  ",7280000,410000,730.1861
"55",874051,"2006-JUL-30","PICE MAR  ",7280000,410000,48.2639
"56",874051,"2019-AUG-08","PICE GLA  ",7280000,410000,1007.92224
"57",874051,"2019-AUG-08","PICE MAR  ",7280000,410000,68.91776
"58",880786,"2006-JUL-26","PICE MAR  ",7270000,390000,36.4429
"59",880786,"2021-JUL-16","PICE MAR  ",7270000,390000,62.9512
"60",880796,"2006-JUL-25","LARI LAR  ",7270000,430000,3.09291
"61",880796,"2006-JUL-25","PICE MAR  ",7270000,430000,17.52649
"62",880796,"2021-JUL-13","LARI LAR  ",7270000,430000,5.233504
"63",880796,"2021-JUL-13","PICE MAR  ",7270000,430000,27.475896
"64",880806,"2002-AUG-12","LARI LAR  ",7280000,470000,19.52956
"65",880806,"2002-AUG-12","PICE MAR  ",7280000,470000,64.85044
"66",880806,"2021-JUL-15","LARI LAR  ",7280000,470000,29.347491
"67",880806,"2021-JUL-15","PICE MAR  ",7280000,470000,92.020809
"68",880821,"2005-AUG-01","LARI LAR  ",7280000,530000,20.349
"69",880821,"2005-AUG-01","PICE GLA  ",7280000,530000,0.412928
"70",880821,"2005-AUG-01","PICE MAR  ",7280000,530000,95.931
"71",880821,"2021-JUL-14","PICE MAR  ",7280000,530000,176.604056
"72",880841,"2002-AUG-07","PICE MAR  ",7280000,610000,115.09
"73",880841,"2019-AUG-03","PICE MAR  ",7280000,610000,545.72
"74",880846,"2002-AUG-09","LARI LAR  ",7280000,630000,1.324992
"75",880846,"2002-AUG-09","PICE MAR  ",7280000,630000,23.482608
"76",880846,"2019-AUG-04","LARI LAR  ",7280000,630000,39.378504
"77",880846,"2019-AUG-04","PICE MAR  ",7280000,630000,66.010296
"78",880886,"2005-AUG-03","PICE GLA  ",7280000,510000,126.680922
"79",880886,"2005-AUG-03","PICE MAR  ",7280000,510000,102.7044
"80",880886,"2019-AUG-07","LARI LAR  ",7280000,510000,40.02075
"81",880886,"2019-AUG-07","PICE GLA  ",7280000,510000,136.23393
"82",880886,"2019-AUG-07","PICE MAR  ",7280000,510000,125.32212
"83",887701,"2005-AUG-02","ALNU CRI  ",7260000,530000,0.69854
"84",887701,"2005-AUG-02","BETU GLA  ",7260000,530000,0.69854
"85",887701,"2005-AUG-02","LARI LAR  ",7260000,530000,0.69854
"86",887701,"2005-AUG-02","PICE MAR  ",7260000,530000,32.83138
"87",887701,"2021-JUL-13","PICE MAR  ",7260000,530000,8.2619
"88",887706,"2005-JUL-31","ALNU CRI  ",7260000,550000,4.73504
"89",887706,"2005-JUL-31","BETU GLA  ",7260000,550000,14.20512
"90",887706,"2005-JUL-31","SALI SPP  ",7260000,550000,4.73504
"91",887706,"2019-AUG-02","LARI LAR  ",7260000,550000,2.578184
"92",887706,"2019-AUG-02","PICE MAR  ",7260000,550000,6.629616
"93",887711,"2002-AUG-09","PICE GLA  ",7260000,570000,191.29771
"94",887711,"2002-AUG-09","PICE MAR  ",7260000,570000,2230.67069
"95",887711,"2019-AUG-01","PICE GLA  ",7260000,570000,1581.3081
"96",887711,"2019-AUG-01","PICE MAR  ",7260000,570000,2558.2419
"97",887711,"2019-AUG-01","POPU TRE  ",7260000,570000,0.5236
"98",887751,"2005-AUG-03","LARI LAR  ",7260000,450000,46.690728
"99",887751,"2005-AUG-03","PICE GLA  ",7260000,450000,166.588294
"100",887751,"2005-AUG-03","PICE MAR  ",7260000,450000,616.860678
"101",887751,"2005-AUG-03","SALI SPP  ",7260000,450000,0.512194
"102",887751,"2019-AUG-05","LARI LAR  ",7260000,450000,44.730629
"103",887751,"2019-AUG-05","PICE GLA  ",7260000,450000,216.377743
"104",887751,"2019-AUG-05","PICE MAR  ",7260000,450000,650.648967
"105",887761,"2005-AUG-04","PICE GLA  ",7260000,490000,1080.60557
"106",887761,"2005-AUG-04","PICE MAR  ",7260000,490000,255.12443
"107",887761,"2019-AUG-08","PICE GLA  ",7260000,490000,1368.00264
"108",887761,"2019-AUG-08","PICE MAR  ",7260000,490000,394.88736
"109",894591,"2005-JUL-30","BETU PAP  ",7240000,570000,5.442066
"110",894591,"2005-JUL-30","BETU PAP NEO",7240000,570000,0.604674
"111",894591,"2005-JUL-30","POPU TRE  ",7240000,570000,19.49196
"112",894591,"2019-JUL-31","BETU PAP NEO",7240000,570000,172.68064
"113",894591,"2019-JUL-31","PICE MAR  ",7240000,570000,871.67408
"114",894591,"2019-JUL-31","POPU TRE  ",7240000,570000,39.2456
"115",901506,"2006-JUL-29","LARI LAR  ",7220000,430000,47.43606
"116",901506,"2006-JUL-29","PICE MAR  ",7220000,430000,16.49394
"117",901506,"2019-AUG-05","LARI LAR  ",7220000,430000,91.97653
"118",901506,"2019-AUG-05","PICE MAR  ",7220000,430000,26.09347
"119",901546,"2006-JUL-30","LARI LAR  ",7210000,580000,11.231148
"120",901546,"2006-JUL-30","PICE GLA  ",7210000,580000,459.138879
"121",901546,"2006-JUL-30","PICE MAR  ",7210000,580000,176.082873
"122",901546,"2019-AUG-06","LARI LAR  ",7210000,580000,0.782343
"123",901546,"2019-AUG-06","PICE GLA  ",7210000,580000,403.117569
"124",901546,"2019-AUG-06","PICE MAR  ",7210000,580000,59.458068
"125",901566,"2005-AUG-05","PICE MAR  ",7210000,380000,516.4816
"126",901566,"2019-AUG-06","PICE GLA  ",7210000,380000,19.00304
"127",901566,"2019-AUG-06","PICE MAR  ",7210000,380000,434.56056
"128",908331,"2002-AUG-19","PICE GLA  ",7200000,490000,1000.8582
"129",908331,"2002-AUG-19","PICE MAR  ",7200000,490000,108.764
"130",908331,"2021-JUL-14","PICE GLA  ",7200000,490000,1979.0308
"131",908381,"2005-JUL-29","PICE MAR  ",7200000,410000,36.5071
"132",908381,"2019-AUG-02","PICE MAR  ",7200000,410000,NA
"133",915246,"2002-AUG-28","PICE GLA  ",7180000,630000,0.473108
"134",915246,"2002-AUG-28","PICE MAR  ",7180000,630000,0.473108
"135",915246,"2002-AUG-28","PICE SPP  ",7180000,630000,46.364584
"136",915246,"2019-JUL-31","BETU PAP  ",7180000,630000,1.722651
"137",915246,"2019-JUL-31","PICE MAR  ",7180000,630000,22.886649
"138",915266,"2005-AUG-29","ALNU CRI  ",7180000,430000,0.519801
"139",915266,"2005-AUG-29","BETU GLA  ",7180000,430000,0.519801
"140",915266,"2005-AUG-29","BETU NEO  ",7180000,430000,23.02
"141",915266,"2005-AUG-29","PICE MAR  ",7180000,430000,50.940498
"142",915266,"2005-AUG-29","SALI SPP  ",7180000,430000,0.519801
"143",915266,"2019-AUG-01","BETU PAP NEO",7180000,430000,53.64934
"144",915266,"2019-AUG-01","LARI LAR  ",7180000,430000,28.82498
"145",915266,"2019-AUG-01","PICE MAR  ",7180000,430000,135.85556
"146",915301,"2005-AUG-04","POPU TRE  ",7180000,560000,0.739
"147",915301,"2005-AUG-04","SALI PLA  ",7180000,560000,1.1085
"148",915301,"2019-AUG-09","PICE MAR  ",7180000,560000,1.026825
"149",915301,"2019-AUG-09","POPU BAL  ",7180000,560000,0.205365
"150",915301,"2019-AUG-09","POPU TRE  ",7180000,560000,18.277485
"151",915301,"2019-AUG-09","SALI GLA  ",7180000,560000,1.23219
"152",922181,"2005-AUG-06","PICE GLA  ",7160000,560000,308.10813
"153",922181,"2005-AUG-06","PICE MAR  ",7160000,560000,143.00187
"154",922181,"2019-AUG-07","LARI LAR  ",7160000,560000,61.78122
"155",922181,"2019-AUG-07","PICE GLA  ",7160000,560000,297.71385
"156",922181,"2019-AUG-07","PICE MAR  ",7160000,560000,88.64262
"157",929016,"2004-AUG-28","PICE MAR  ",7140000,380000,507.846
"158",929016,"2018-AUG-23","PICE MAR  ",7140000,380000,892.8245
"159",929021,"2004-AUG-29","PICE MAR  ",7140000,4e+05,55.7482
"160",929021,"2018-AUG-24","PICE MAR  ",7140000,4e+05,92.513
"161",929061,"2005-AUG-05","LARI LAR  ",7140000,560000,15.972616
"162",929061,"2005-AUG-05","PICE GLA  ",7140000,560000,63.30519
"163",929061,"2005-AUG-05","PICE MAR  ",7140000,560000,41.324398
"164",929061,"2005-AUG-05","SALI SPP  ",7140000,560000,0.840664
"165",929061,"2005-AUG-05","SHEP CAN  ",7140000,560000,0.420332
"166",929061,"2018-AUG-29","LARI LAR  ",7140000,560000,14.239353
"167",929061,"2018-AUG-29","PICE GLA  ",7140000,560000,65.624
"168",929061,"2018-AUG-29","PICE MAR  ",7140000,560000,85.927547
"169",929066,"2005-AUG-06","PICE GLA  ",7140000,580000,56.214905
"170",929066,"2005-AUG-06","PICE MAR  ",7140000,580000,375.11975
"171",929066,"2019-AUG-09","PICE GLA  ",7140000,580000,81.29562
"172",929066,"2019-AUG-09","PICE MAR  ",7140000,580000,389.110064
"173",935891,"2004-AUG-30","BETU NEO  ",7120000,360000,5.492148
"174",935891,"2004-AUG-30","PICE MAR  ",7120000,360000,57.585752
"175",935891,"2019-JUL-30","BETU NEO  ",7120000,360000,1.03401
"176",935891,"2019-JUL-30","PICE MAR  ",7120000,360000,95.62
"177",942786,"2004-SEP-01","POPU TRE  ",7100000,420000,19.5937
"178",942786,"2018-AUG-25","POPU TRE  ",7100000,420000,31.6729
"179",949656,"2004-SEP-02","BETU NEO  ",7080000,380000,3.73664
"180",949656,"2004-SEP-02","PICE GLA  ",7080000,380000,145.10991
"181",949656,"2004-SEP-02","PICE MAR  ",7080000,380000,2357.35145
"182",949656,"2018-AUG-27","BETU PAP  ",7080000,380000,8.594063
"183",949656,"2018-AUG-27","PICE GLA  ",7080000,380000,151.52439
"184",949656,"2018-AUG-27","PICE MAR  ",7080000,380000,2437.726247
"185",963511,"2004-JUL-19","PICE GLA  ",7020000,460000,259.69486
"186",963511,"2004-JUL-19","PICE MAR  ",7020000,460000,536.91514
"187",963511,"2015-AUG-25","PICE GLA  ",7020000,540000,236.431
"188",963511,"2015-AUG-25","PICE MAR  ",7020000,540000,491.049
"189",970321,"2004-AUG-25","PICE GLA  ",7020000,480000,0.2097
"190",970321,"2004-AUG-25","POPU TRE  ",7020000,480000,0.6291
"191",970321,"2018-AUG-20","PICE GLA  ",7020000,480000,2.9261
"192",970336,"2005-JUL-27","BETU GLA  ",7020000,540000,20.13561
"193",970336,"2005-JUL-27","POPU TRE  ",7020000,540000,2.461019
"194",970336,"2018-AUG-28","PICE MAR  ",7020000,540000,0.4428
"195",977196,"2004-AUG-26","PICE GLA  ",7e+06,460000,1868.327232
"196",977196,"2004-AUG-26","POPU BAL  ",7e+06,460000,226.062
"197",977196,"2004-AUG-26","POPU TRE  ",7e+06,460000,169.5465
"198",977196,"2004-AUG-26","SALI SCO  ",7e+06,460000,0.671041
"199",977196,"2018-AUG-26","PICE GLA  ",7e+06,460000,2670.582392
"200",977196,"2018-AUG-26","POPU BAL  ",7e+06,460000,200.2803
"201",977196,"2018-AUG-26","POPU TRE  ",7e+06,460000,173.063108
"202",977211,"2004-SEP-03","LARI LAR  ",7e+06,520000,1.171233
"203",977211,"2004-SEP-03","PICE MAR  ",7e+06,520000,348.029867
"204",977211,"2018-AUG-30","LARI LAR  ",7e+06,520000,NA
"205",977211,"2018-AUG-30","PICE MAR  ",7e+06,520000,339.45
"206",977281,"2004-JUL-18","PICE MAR  ",6980000,490000,0
"207",977281,"2004-JUL-18","PINU BAN  ",6980000,490000,370.155
"208",977281,"2015-AUG-25","PICE GLA  ",6980000,490000,50.29365
"209",977281,"2015-AUG-25","PICE MAR  ",6980000,490000,6.824355
"210",977281,"2015-AUG-25","PINU BAN  ",6980000,490000,475.170495
"211",984081,"2004-AUG-31","PICE MAR  ",6980000,480000,346.4277
"212",984081,"2018-AUG-21","PICE MAR  ",6980000,480000,379.8401
"213",997836,"2005-JUL-28","LARI LAR  ",6940000,460000,0.555597
"214",997836,"2005-JUL-28","PICE MAR  ",6940000,460000,140.156791
"215",997836,"2018-AUG-22","PICE MAR  ",6940000,460000,281.701504
"216",997846,"2005-JUL-27","BETU GLA  ",6940000,490000,1.287394
"217",997846,"2005-JUL-27","BETU PAP NEO",6940000,490000,0.643697
"218",997846,"2005-JUL-27","LARI LAR  ",6940000,490000,59.689835
"219",997846,"2005-JUL-27","PICE MAR  ",6940000,490000,276.287683
"220",997846,"2005-JUL-27","SALI PLA  ",6940000,490000,1.287394
"221",997846,"2005-JUL-27","SALI SPP  ",6940000,490000,0.643697
"222",997846,"2018-AUG-31","BETU NEO  ",6940000,490000,0.926312
"223",997846,"2018-AUG-31","LARI LAR  ",6940000,490000,96.72657
"224",997846,"2018-AUG-31","PICE MAR  ",6940000,490000,245.06343
"225",997851,"2005-JUL-28","ALNU CRI  ",6940000,510000,0.878232
"226",997851,"2005-JUL-28","PICE MAR  ",6940000,510000,47.586168
"227",997851,"2018-AUG-31","PICE MAR  ",6940000,510000,142.3825
"228",997881,"2005-JUL-26","BETU GLA  ",6940000,630000,1.59068
"229",997881,"2005-JUL-26","PINU BAN  ",6940000,630000,0.24472
"230",997881,"2005-JUL-26","POPU TRE  ",6940000,630000,3.9767
"231",997881,"2005-JUL-26","SALI SPP  ",6940000,630000,0.24472
"232",997881,"2018-AUG-19","PICE GLA  ",6940000,630000,0
"233",997886,"2004-JUL-16","LARI LAR  ",6930000,650000,6.03723
"234",997886,"2004-JUL-16","LARI OCC  ",6930000,650000,2.414892
"235",997886,"2004-JUL-16","PICE GLA  ",6930000,650000,88.92
"236",997886,"2004-JUL-16","PICE MAR  ",6930000,650000,111.085032
"237",997886,"2021-JUL-23","LARI LAR  ",6930000,650000,57.65784
"238",997886,"2021-JUL-23","PICE GLA  ",6930000,650000,324.18216
"239",997886,"2021-JUL-23","PICE MAR  ",6930000,650000,150.741908
"240",997891,"2004-JUL-16","POPU TRE  ",6930000,360000,14.4538
"241",997891,"2021-JUL-23","GENC SPP  ",6930000,360000,1.694042
"242",997891,"2021-JUL-23","POPU TRE  ",6930000,360000,167.710158
"243",1004761,"2003-AUG-27","LARI LAR  ",6920000,630000,25.01387
"244",1004761,"2003-AUG-27","PICE MAR  ",6920000,630000,542.99093
"245",1004761,"2016-AUG-18","LARI LAR  ",6920000,630000,25.33896
"246",1004761,"2016-AUG-18","PICE MAR  ",6920000,630000,483.33264
"247",1011666,"2003-AUG-24","PICE MAR  ",6880000,420000,487.516
"248",1011666,"2016-AUG-23","PICE GLA  ",6880000,420000,171.71363
"249",1011666,"2016-AUG-23","PICE MAR  ",6880000,420000,125.63687
"250",1011681,"2003-AUG-23","PICE GLA  ",6880000,480000,18.955968
