"","nfi_plot","meas_date","biomass_total","meas_num","species_num","genus","species","variety","percent","species_rel","utm_n","utm_e","biomass_composition"
"1",1004761,"2003-AUG-27",35.7948,0,1,"PICE","MAR",NA,100,1,6920000,630000,35.7948
"2",1004761,"2016-AUG-18",39.4316,1,1,"PICE","MAR",NA,100,1,6920000,630000,39.4316
"3",1011666,"2003-AUG-24",90.056,0,1,"PICE","MAR",NA,100,1,6880000,420000,90.056
"4",1011666,"2016-AUG-23",64.3605,1,1,"PICE","MAR",NA,100,1,6880000,420000,64.3605
"5",1011681,"2003-AUG-23",157.9664,0,1,"PICE","MAR",NA,78,0.872,6880000,480000,123.213792
"6",1011681,"2003-AUG-23",157.9664,0,2,"PICE","GLA",NA,12,0.077,6880000,480000,18.955968
"7",1011681,"2003-AUG-23",157.9664,0,3,"POPU","TRE",NA,10,0.051,6880000,480000,15.79664
"8",1011681,"2015-AUG-24",162.9218,1,1,"PICE","MAR",NA,70,0.75,6880000,480000,114.04526
"9",1011681,"2015-AUG-24",162.9218,1,2,"PICE","GLA",NA,30,0.25,6880000,480000,48.87654
"10",1018501,"2003-AUG-26",6.2724,0,1,"BETU","PAP",NA,100,1,6880000,550000,6.2724
"11",1018501,"2016-AUG-17",43.3257,1,1,"BETU","PAP",NA,100,0.909,6880000,550000,43.3257
"12",1018501,"2016-AUG-17",43.3257,1,2,"PICE","GLA",NA,0,0.091,6880000,550000,0
"13",1018511,"2004-JUL-14",41.6641,0,1,"PICE","GLA",NA,66,0.821,6880000,590000,27.498306
"14",1018511,"2016-AUG-18",35.6185,1,1,"PICE","MAR",NA,86,0.63,6880000,590000,30.63191
"15",1018511,"2016-AUG-18",35.6185,1,2,"LARI","LAR",NA,12,0.333,6880000,590000,4.27422
"16",1018511,"2016-AUG-18",35.6185,1,3,"PICE","GLA",NA,3,0.037,6880000,590000,1.068555
"17",1018521,"2003-AUG-29",82.6432,0,1,"PICE","MAR",NA,100,1,6880000,630000,82.6432
"18",1018521,"2016-AUG-19",88.4874,1,1,"PICE","MAR",NA,100,1,6880000,630000,88.4874
"19",1018546,"2003-AUG-24",85.4392,0,1,"PINU","BAN",NA,100,1,6870000,420000,85.4392
"20",1018546,"2009-JUL-27",108.2579,1,1,"PINU","BAN",NA,100,1,6870000,420000,108.2579
"21",1018566,"2003-AUG-23",61.019,0,1,"PICE","MAR",NA,100,1,6860000,490000,61.019
"22",1018566,"2009-JUL-27",77.0756,1,1,"PICE","MAR",NA,100,1,6860000,490000,77.0756
"23",1025351,"2004-JUL-13",68.499,0,1,"PICE","MAR",NA,100,1,6860000,430000,68.499
"24",1025351,"2018-AUG-17",111.2542,1,1,"PICE","MAR",NA,100,1,6860000,430000,111.2542
"25",1025376,"2003-AUG-27",65.1785,0,1,"PICE","MAR",NA,97,0.984,6860000,530000,63.223145
"26",1025376,"2003-AUG-27",65.1785,0,2,"POPU","BAL",NA,3,0.016,6860000,530000,1.955355
"27",1025376,"2016-AUG-19",103.6765,1,1,"PICE","MAR",NA,100,1,6860000,530000,103.6765
"28",1025421,"2003-AUG-25",126.3854,0,1,"POPU","TRE",NA,89,0.887,6850000,390000,112.483006
"29",1025421,"2016-AUG-23",163.8354,1,3,"SALI","SPP",NA,1,0.016,6850000,390000,1.638354
"30",1025421,"2016-AUG-23",163.8354,1,1,"POPU","TRE",NA,99,0.967,6850000,390000,162.197046
"31",1025421,"2016-AUG-23",163.8354,1,2,"PICE","GLA",NA,1,0.016,6850000,390000,1.638354
"32",1025501,"2003-AUG-19",199.7108,0,1,"PICE","GLA",NA,100,0.978,6800000,390000,199.7108
"33",1025501,"2003-AUG-19",199.7108,0,2,"POPU","BAL",NA,0,0.022,6800000,390000,0
"34",1025501,"2009-JUL-23",44.1768,1,1,"PICE","GLA",NA,100,1,6800000,390000,44.1768
"35",1032241,"2004-JUL-14",37.6887,0,1,"PICE","GLA",NA,100,1,6840000,470000,37.6887
"36",1032241,"2018-AUG-18",34.8958,1,1,"PICE","GLA",NA,100,1,6840000,470000,34.8958
"37",1039166,"2004-JUL-15",56.4002,0,5,"BETU","GLA",NA,1,0.026,6820000,650000,0.564002
"38",1039166,"2016-AUG-21",37.4594,1,1,"POPU","TRE",NA,100,1,6820000,650000,37.4594
"39",1039211,"2003-AUG-26",1.0613,0,2,"POPU","TRE",NA,25,0.25,6790000,510000,0.265325
"40",1039211,"2003-AUG-26",1.0613,0,1,"POPU","BAL",NA,75,0.75,6790000,510000,0.795975
"41",1039211,"2009-JUL-26",5.2024,1,1,"POPU","TRE",NA,100,1,6790000,510000,5.2024
"42",1046006,"2004-JUL-10",109.0776,0,1,"PINU","BAN",NA,96,0.962,6800000,490000,104.714496
"43",1046006,"2004-JUL-10",109.0776,0,2,"SALI","SCO",NA,3,0.032,6800000,490000,3.272328
"44",1046006,"2004-JUL-10",109.0776,0,3,"POPU","TRE",NA,1,0.006,6800000,490000,1.090776
"45",1046006,"2017-AUG-13",232.5221,1,1,"PINU","BAN",NA,100,1,6800000,490000,232.5221
"46",1046031,"2004-JUL-13",46.0868,0,1,"PICE","MAR",NA,100,1,6800000,590000,46.0868
"47",1046031,"2017-AUG-15",40.2547,1,1,"PICE","MAR",NA,100,1,6800000,590000,40.2547
"48",1046046,"2004-JUL-15",91.7777,0,1,"PICE","MAR",NA,94,0.915,6800000,650000,86.271038
"49",1046046,"2004-JUL-15",91.7777,0,2,"PICE","GLA",NA,4,0.064,6800000,650000,3.671108
"50",1046046,"2004-JUL-15",91.7777,0,3,"LARI","LAR",NA,2,0.021,6800000,650000,1.835554
"51",1046046,"2009-JUL-28",74.2419,1,1,"PICE","MAR",NA,86,0.929,6800000,650000,63.848034
"52",1046086,"2003-AUG-16",14.7542,0,1,"PICE","MAR",NA,77,0.762,6780000,480000,11.360734
"53",1046086,"2003-AUG-16",14.7542,0,2,"PICE","GLA",NA,23,0.238,6780000,480000,3.393466
"54",1046086,"2015-AUG-22",259.9469,1,1,"PICE","MAR",NA,85,0.836,6780000,480000,220.954865
"55",1046086,"2015-AUG-22",259.9469,1,2,"PICE","GLA",NA,15,0.164,6780000,480000,38.992035
"56",1052886,"2004-JUL-11",41.7236,0,1,"PICE","MAR",NA,100,1,6780000,490000,41.7236
"57",1052886,"2017-AUG-14",80.3915,1,1,"PICE","MAR",NA,100,1,6780000,490000,80.3915
"58",1052971,"2004-JUL-22",181.5491,0,3,"PICE","GLA",NA,4,0.054,6750000,5e+05,7.261964
"59",1052971,"2015-AUG-15",194.3161,1,3,"PICE","GLA",NA,8,0.119,6750000,5e+05,15.545288
"60",1059821,"2003-AUG-17",29.2288,0,1,"LARI","LAR",NA,100,1,6750000,380000,29.2288
"61",1059821,"2015-AUG-23",30.6946,1,1,"LARI","LAR",NA,100,1,6750000,380000,30.6946
"62",1059831,"2003-AUG-17",20.7731,0,1,"PICE","MAR",NA,99,0.909,6740000,420000,20.565369
"63",1059831,"2003-AUG-17",20.7731,0,2,"LARI","LAR",NA,2,0.091,6740000,420000,0.415462
"64",1059831,"2015-AUG-22",20.0711,1,1,"PICE","MAR",NA,96,0.923,6740000,420000,19.268256
"65",1059831,"2015-AUG-22",20.0711,1,2,"LARI","LAR",NA,4,0.077,6740000,420000,0.802844
"66",1059836,"2004-JUL-17",62.09,0,1,"PICE","MAR",NA,100,1,6740000,440000,62.09
"67",1059836,"2015-AUG-21",87.5167,1,1,"PICE","MAR",NA,100,1,6740000,440000,87.5167
"68",1059906,"2003-AUG-22",71.0821,0,1,"PICE","GLA",NA,64,0.75,6700000,390000,45.492544
"69",1059906,"2015-AUG-17",56.0587,1,1,"PICE","GLA",NA,63,0.8,6700000,390000,35.316981
"70",1059906,"2015-AUG-17",56.0587,1,2,"POPU","TRE",NA,37,0.2,6700000,390000,20.741719
"71",1066646,"2004-JUL-08",91.0303,0,1,"SALI","SCO",NA,86,0.824,6740000,490000,78.286058
"72",1066646,"2004-JUL-08",91.0303,0,2,"PICE","GLA",NA,8,0.118,6740000,490000,7.282424
"73",1066646,"2004-JUL-08",91.0303,0,3,"POPU","TRE",NA,7,0.059,6740000,490000,6.372121
"74",1066646,"2017-AUG-09",10.0561,1,1,"PICE","GLA",NA,100,1,6740000,490000,10.0561
"75",1066676,"2004-JUL-21",48.4633,0,1,"PICE","MAR",NA,100,1,6740000,610000,48.4633
"76",1066676,"2017-AUG-16",63.7852,1,1,"PICE","MAR",NA,100,1,6740000,610000,63.7852
"77",1066691,"2004-JUL-20",8.2733,0,1,"PICE","MAR",NA,100,1,6730000,340000,8.2733
"78",1066691,"2017-AUG-16",4.6936,1,1,"PICE","MAR",NA,100,1,6730000,340000,4.6936
"79",1066766,"2003-AUG-21",44.0244,0,1,"PICE","MAR",NA,100,1,6700000,630000,44.0244
"80",1066766,"2015-AUG-18",56.3582,1,1,"PICE","MAR",NA,100,1,6700000,630000,56.3582
"81",1073521,"2004-JUL-12",18.4189,0,1,"BETU","PAP",NA,94,0.75,6720000,470000,17.313766
"82",1073521,"2004-JUL-12",18.4189,0,2,"PICE","GLA",NA,6,0.25,6720000,470000,1.105134
"83",1073521,"2017-AUG-13",18.1551,1,3,"PICE","MAR",NA,8,0.167,6720000,470000,1.452408
"84",1073566,"2004-JUL-20",28.3086,0,1,"PICE","MAR",NA,57,0.7,6720000,640000,16.135902
"85",1073566,"2004-JUL-20",28.3086,0,2,"LARI","LAR",NA,43,0.3,6720000,640000,12.172698
"86",1073566,"2009-JUL-29",34.6698,1,1,"PICE","MAR",NA,64,0.727,6720000,640000,22.188672
"87",1073566,"2009-JUL-29",34.6698,1,2,"LARI","LAR",NA,36,0.273,6720000,640000,12.481128
"88",1080421,"2004-JUL-09",52.4349,0,1,"PICE","MAR",NA,80,0.714,6700000,540000,41.94792
"89",1080421,"2004-JUL-09",52.4349,0,2,"LARI","LAR",NA,20,0.286,6700000,540000,10.48698
"90",1080421,"2017-AUG-11",48.8202,1,1,"PICE","MAR",NA,77,0.786,6700000,540000,37.591554
"91",1080421,"2017-AUG-11",48.8202,1,2,"LARI","LAR",NA,23,0.214,6700000,540000,11.228646
"92",1080431,"2004-JUL-21",56.9842,0,1,"SALI","SCO",NA,63,0.571,6700000,580000,35.900046
"93",1080431,"2017-AUG-11",15.6663,1,1,"PICE","MAR",NA,100,1,6700000,580000,15.6663
