"","nfi_plot","meas_date","biomass_total","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","utm_n","utm_e","percent/100","percent/100 * biomass_total"
"1",1004761,"2003-AUG-27",532.21,0,0,1,"PICE","MAR","",95.3,0.941,6920000,630000,0.953,507.19613
"2",1004761,"2003-AUG-27",532.21,0,0,2,"LARI","LAR","",4.7,0.059,6920000,630000,0.047,25.01387
"3",1004761,"2016-AUG-18",469.24,0,1,2,"LARI","LAR","",5.4,0.077,6920000,630000,0.054,25.33896
"4",1004761,"2016-AUG-18",469.24,0,1,1,"PICE","MAR","",94.6,0.923,6920000,630000,0.946,443.90104
"5",1011666,"2003-AUG-24",397.46,0,0,1,"PICE","MAR","",100,1,6880000,420000,1,397.46
"6",1011666,"2016-AUG-23",232.99,0,1,1,"PICE","GLA","",73.7,0.5,6880000,420000,0.737,171.71363
"7",1011666,"2016-AUG-23",232.99,0,1,2,"PICE","MAR","",26.3,0.5,6880000,420000,0.263,61.27637
"8",1011706,"2004-JUL-18",1011.29,0,0,3,"POPU","BAL","",1.9,0.05,6860000,580000,0.019,19.21451
"9",1011706,"2015-AUG-24",885.47,0,1,1,"POPU","TRE","",51,0.6,6860000,580000,0.51,451.5897
"10",1011706,"2015-AUG-24",885.47,0,1,2,"PINU","BAN","",44.9,0.333,6860000,580000,0.449,397.57603
"11",1011706,"2015-AUG-24",885.47,0,1,3,"POPU","BAL","",4.1,0.067,6860000,580000,0.041,36.30427
"12",1018501,"2003-AUG-26",133.99,0,0,2,"BETU","PAP","",27.7,0.25,6880000,550000,0.277,37.11523
"13",1018501,"2003-AUG-26",133.99,0,0,3,"LARI","LAR","",20.4,0.25,6880000,550000,0.204,27.33396
"14",1018501,"2003-AUG-26",133.99,0,0,1,"PICE","MAR","",51.9,0.5,6880000,550000,0.519,69.54081
"15",1018501,"2016-AUG-17",259.11,0,1,1,"BETU","PAP","",50.4,0.333,6880000,550000,0.504,130.59144
"16",1018501,"2016-AUG-17",259.11,0,1,4,"POPU","BAL","",9.4,0.167,6880000,550000,0.094,24.35634
"17",1018501,"2016-AUG-17",259.11,0,1,3,"LARI","LAR","",15,0.167,6880000,550000,0.15,38.8665
"18",1018501,"2016-AUG-17",259.11,0,1,2,"PICE","MAR","",25.2,0.333,6880000,550000,0.252,65.29572
"19",1018511,"2004-JUL-14",1721.77,0,0,1,"PICE","MAR","",53.7,0.556,6880000,590000,0.537,924.59049
"20",1018511,"2004-JUL-14",1721.77,0,0,2,"PICE","GLA","",27.8,0.333,6880000,590000,0.278,478.65206
"21",1018511,"2004-JUL-14",1721.77,0,0,3,"LARI","LAR","",18.4,0.111,6880000,590000,0.184,316.80568
"22",1018511,"2016-AUG-18",1795.83,0,1,2,"PICE","GLA","",21.8,0.259,6880000,590000,0.218,391.49094
"23",1018511,"2016-AUG-18",1795.83,0,1,3,"LARI","LAR","",13.2,0.074,6880000,590000,0.132,237.04956
"24",1018511,"2016-AUG-18",1795.83,0,1,1,"PICE","MAR","",65,0.667,6880000,590000,0.65,1167.2895
"25",1018521,"2003-AUG-29",1341.45,0,0,1,"PICE","MAR","",89.1,0.943,6880000,630000,0.891,1195.23195
"26",1018521,"2003-AUG-29",1341.45,0,0,3,"POPU","BAL","",1.7,0.029,6880000,630000,0.017,22.80465
"27",1018521,"2003-AUG-29",1341.45,0,0,2,"PICE","GLA","",9.2,0.029,6880000,630000,0.092,123.4134
"28",1018521,"2016-AUG-19",1260.54,0,1,1,"PICE","MAR","",97.7,0.963,6880000,630000,0.977,1231.54758
"29",1018521,"2016-AUG-19",1260.54,0,1,2,"POPU","BAL","",2.3,0.037,6880000,630000,0.023,28.99242
"30",1018546,"2003-AUG-24",112.14,0,0,1,"PINU","BAN","",100,1,6870000,420000,1,112.14
"31",1018546,"2009-JUL-27",379.09,0,1,1,"PINU","BAN","",100,1,6870000,420000,1,379.09
"32",1018566,"2003-AUG-23",34.93,0,0,1,"PICE","MAR","",100,1,6860000,490000,1,34.93
"33",1018566,"2009-JUL-27",50.78,0,1,1,"PICE","MAR","",100,1,6860000,490000,1,50.78
"34",1025351,"2004-JUL-13",1102.47,0,0,1,"PICE","MAR","",100,1,6860000,430000,1,1102.47
