"","nfi_plot","meas_date","smtree_biomass","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","utm_n","utm_e","smtree_percent/100","smtree_percent/100 * smtree_biomass"
"1",1004761,"2003-AUG-27",35.7948,0,0,1,"PICE","MAR","",100,1,6920000,630000,1,35.7948
"2",1004761,"2016-AUG-18",39.4316,0,1,1,"PICE","MAR","",100,1,6920000,630000,1,39.4316
"3",1011666,"2003-AUG-24",90.056,0,0,1,"PICE","MAR","",100,1,6880000,420000,1,90.056
"4",1011666,"2016-AUG-23",64.3605,0,1,1,"PICE","MAR","",100,1,6880000,420000,1,64.3605
"5",1011681,"2003-AUG-23",157.9664,0,0,1,"PICE","MAR","",78,0.872,6880000,480000,0.78,123.213792
"6",1011681,"2003-AUG-23",157.9664,0,0,2,"PICE","GLA","",12,0.077,6880000,480000,0.12,18.955968
"7",1011681,"2003-AUG-23",157.9664,0,0,3,"POPU","TRE","",10,0.051,6880000,480000,0.1,15.79664
"8",1011681,"2015-AUG-24",162.9218,0,1,1,"PICE","MAR","",70,0.75,6880000,480000,0.7,114.04526
"9",1011681,"2015-AUG-24",162.9218,0,1,2,"PICE","GLA","",30,0.25,6880000,480000,0.3,48.87654
"10",1018501,"2003-AUG-26",6.2724,0,0,1,"BETU","PAP","",100,1,6880000,550000,1,6.2724
"11",1018501,"2016-AUG-17",43.3257,0,1,1,"BETU","PAP","",100,0.909,6880000,550000,1,43.3257
"12",1018501,"2016-AUG-17",43.3257,0,1,2,"PICE","GLA","",0,0.091,6880000,550000,0,0
"13",1018511,"2004-JUL-14",41.6641,0,0,1,"PICE","GLA","",66,0.821,6880000,590000,0.66,27.498306
"14",1018511,"2016-AUG-18",35.6185,0,1,1,"PICE","MAR","",86,0.63,6880000,590000,0.86,30.63191
"15",1018511,"2016-AUG-18",35.6185,0,1,2,"LARI","LAR","",12,0.333,6880000,590000,0.12,4.27422
"16",1018511,"2016-AUG-18",35.6185,0,1,3,"PICE","GLA","",3,0.037,6880000,590000,0.03,1.068555
"17",1018521,"2003-AUG-29",82.6432,0,0,1,"PICE","MAR","",100,1,6880000,630000,1,82.6432
"18",1018521,"2016-AUG-19",88.4874,0,1,1,"PICE","MAR","",100,1,6880000,630000,1,88.4874
"19",1018546,"2003-AUG-24",85.4392,0,0,1,"PINU","BAN","",100,1,6870000,420000,1,85.4392
"20",1018546,"2009-JUL-27",108.2579,0,1,1,"PINU","BAN","",100,1,6870000,420000,1,108.2579
"21",1018566,"2003-AUG-23",61.019,0,0,1,"PICE","MAR","",100,1,6860000,490000,1,61.019
"22",1018566,"2009-JUL-27",77.0756,0,1,1,"PICE","MAR","",100,1,6860000,490000,1,77.0756
"23",1025351,"2004-JUL-13",68.499,0,0,1,"PICE","MAR","",100,1,6860000,430000,1,68.499
"24",1025351,"2018-AUG-17",111.2542,0,1,1,"PICE","MAR","",100,1,6860000,430000,1,111.2542
"25",1025376,"2003-AUG-27",65.1785,0,0,1,"PICE","MAR","",97,0.984,6860000,530000,0.97,63.223145
"26",1025376,"2003-AUG-27",65.1785,0,0,2,"POPU","BAL","",3,0.016,6860000,530000,0.03,1.955355
"27",1025376,"2016-AUG-19",103.6765,0,1,1,"PICE","MAR","",100,1,6860000,530000,1,103.6765
"28",1025421,"2003-AUG-25",126.3854,0,0,1,"POPU","TRE","",89,0.887,6850000,390000,0.89,112.483006
