"","nfi_plot","meas_date","biomass_total","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","utm_n","utm_e","percent/100","percent/100 * biomass_total"
"1",1183821,"2004-JUL-20",1254.89,0,0,1,"POPU","TRE",NA,96.4,0.972,6290000,600000,0.964,1209.71396
"2",1183821,"2004-JUL-20",1254.89,0,0,2,"BETU","PAP",NA,3.6,0.028,6290000,600000,0.036,45.17604
"3",1183821,"2014-AUG-12",1806.85,0,1,1,"POPU","TRE",NA,100,1,6290000,600000,1,1806.85
"4",1211411,"2004-AUG-10",1863.56,0,0,1,"PICE","MAR",NA,100,1,6140000,480000,1,1863.56
"5",1211411,"2009-AUG-29",3004.23,0,1,1,"PICE","MAR",NA,85.4,0.897,6140000,480000,0.854,2565.61242
"6",1211411,"2009-AUG-29",3004.23,0,1,2,"LARI","LAR",NA,12.3,0.069,6140000,480000,0.123,369.52029
"7",1211411,"2009-AUG-29",3004.23,0,1,3,"PINU","BAN",NA,1.3,0.017,6140000,480000,0.013,39.05499
"8",1211411,"2009-AUG-29",3004.23,0,1,4,"POPU","TRE",NA,1,0.017,6140000,480000,0.01,30.0423
"9",1211411,"2019-AUG-26",3535.79,0,2,1,"PICE","MAR",NA,82.5,0.9,6140000,480000,0.825,2917.02675
"10",1211411,"2019-AUG-26",3535.79,0,2,2,"LARI","LAR",NA,15.4,0.067,6140000,480000,0.154,544.51166
"11",1211411,"2019-AUG-26",3535.79,0,2,3,"PINU","BAN",NA,1.2,0.017,6140000,480000,0.012,42.42948
"12",1211411,"2019-AUG-26",3535.79,0,2,4,"POPU","TRE",NA,0.9,0.017,6140000,480000,0.009,31.82211
"13",1225141,"2004-JUL-27",407.67,0,0,1,"PICE","MAR",NA,85.8,0.875,6130000,350000,0.858,349.78086
"14",1225141,"2004-JUL-27",407.67,0,0,2,"LARI","LAR",NA,14.2,0.125,6130000,350000,0.142,57.88914
"15",1225141,"2011-JUL-14",510.84,0,1,1,"PICE","MAR",NA,75.9,0.789,6130000,350000,0.759,387.72756
