"","nfi_plot","meas_date","smtree_biomass","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","utm_n","utm_e","smtree_percent/100","smtree_percent/100 * smtree_biomass"
"1",1156291,"2004-JUL-19",38.2621,0,0,1,"PINU","BAN",NA,100,1,6370000,580000,1,38.2621
"2",1156291,"2016-SEP-07",76.6917,0,1,1,"PINU","BAN",NA,100,1,6370000,580000,1,76.6917
"3",1211411,"2004-AUG-10",190.8067,0,0,3,"SALI","SPP",NA,2,0.018,6140000,480000,0.02,3.816134
"4",1211411,"2009-AUG-29",170.8676,0,1,1,"PICE","MAR",NA,95,0.714,6140000,480000,0.95,162.32422
"5",1211411,"2019-AUG-26",128.6628,0,2,1,"PICE","MAR",NA,100,1,6140000,480000,1,128.6628
"6",1225141,"2004-JUL-27",179.8881,0,0,1,"PICE","MAR",NA,100,0.979,6130000,350000,1,179.8881
"7",1225141,"2004-JUL-27",179.8881,0,0,2,"SALI","SPP",NA,1,0.021,6130000,350000,0.01,1.798881
"8",1225141,"2011-JUL-14",169.4091,0,1,1,"PICE","MAR",NA,100,1,6130000,350000,1,169.4091
"9",1225151,"2003-SEP-14",53.7121,0,0,1,"SALI","SPP",NA,84,0.84,6120000,390000,0.84,45.118164
"10",1225151,"2003-SEP-14",53.7121,0,0,2,"PINU","BAN",NA,16,0.16,6120000,390000,0.16,8.593936
"11",1225151,"2014-AUG-10",17.7683,0,1,1,"PINU","BAN",NA,100,1,6120000,390000,1,17.7683
"12",1225161,"2003-SEP-13",280.9153,0,0,1,"PICE","MAR",NA,100,1,6110000,430000,1,280.9153
"13",1225161,"2009-AUG-29",322.4968,0,1,1,"PICE","MAR",NA,100,1,6110000,430000,1,322.4968
"14",1225161,"2019-AUG-28",245.9273,0,2,1,"PICE","MAR",NA,100,1,6110000,430000,1,245.9273
"15",1225181,"2003-SEP-15",187.5103,0,0,1,"PICE","MAR",NA,100,1,6080000,510000,1,187.5103
"16",1225181,"2012-AUG-11",274.306,0,1,1,"PICE","MAR",NA,100,1,6080000,510000,1,274.306
"17",1225201,"2003-SEP-26",53.6052,0,0,1,"PINU","BAN",NA,100,1,6060000,580000,1,53.6052
"18",1225201,"2009-AUG-30",39.0371,0,1,1,"PINU","BAN",NA,100,1,6060000,580000,1,39.0371
"19",1238891,"2004-JUL-27",294.8126,0,0,1,"PICE","MAR",NA,87,0.88,6110000,690000,0.87,256.486962
"20",1238891,"2004-JUL-27",294.8126,0,0,2,"PINU","BAN",NA,13,0.108,6110000,690000,0.13,38.325638
"21",1238891,"2004-JUL-27",294.8126,0,0,3,"SALI","SPP",NA,0,0.012,6110000,690000,0,0
"22",1238891,"2012-AUG-07",337.2122,0,1,1,"PICE","MAR",NA,94,0.938,6110000,690000,0.94,316.979468
"23",1238891,"2012-AUG-07",337.2122,0,1,2,"PINU","BAN",NA,6,0.062,6110000,690000,0.06,20.232732
"24",1238901,"2004-JUL-28",24.3019,0,0,1,"PICE","MAR",NA,100,1,6090000,340000,1,24.3019
"25",1238901,"2014-AUG-11",10.5529,0,1,1,"PICE","MAR",NA,100,1,6090000,340000,1,10.5529
"26",1238911,"2006-SEP-09",17.697,0,0,1,"LARI","LAR",NA,73,0.586,6080000,380000,0.73,12.91881
"27",1238911,"2006-SEP-09",17.697,0,0,2,"PICE","MAR",NA,26,0.379,6080000,380000,0.26,4.60122
"28",1238911,"2006-SEP-09",17.697,0,0,3,"BETU","SPP",NA,1,0.034,6080000,380000,0.01,0.17697
"29",1238911,"2011-JUL-15",76.032,0,1,1,"LARI","LAR",NA,60,0.5,6080000,380000,0.6,45.6192
"30",1238911,"2011-JUL-15",76.032,0,1,2,"PICE","MAR",NA,40,0.5,6080000,380000,0.4,30.4128
"31",1238921,"2004-SEP-08",18.9187,0,0,1,"BETU","PUM",NA,90,0.9,6070000,420000,0.9,17.02683
"32",1238921,"2004-SEP-08",18.9187,0,0,2,"PICE","MAR",NA,10,0.1,6070000,420000,0.1,1.89187
"33",1238921,"2016-SEP-06",9.8929,0,1,1,"PINU","BAN",NA,99,0.97,6070000,420000,0.99,9.793971
"34",1238921,"2016-SEP-06",9.8929,0,1,2,"PICE","MAR",NA,1,0.03,6070000,420000,0.01,0.098929
"35",1238931,"2006-SEP-08",6.2503,0,0,1,"ALNU","INC",NA,38,0.375,6060000,460000,0.38,2.375114
"36",1238931,"2006-SEP-08",6.2503,0,0,2,"BETU","PAP",NA,29,0.292,6060000,460000,0.29,1.812587
"37",1238931,"2006-SEP-08",6.2503,0,0,3,"POPU","TRE",NA,21,0.208,6060000,460000,0.21,1.312563
"38",1238931,"2006-SEP-08",6.2503,0,0,4,"SALI","SPP",NA,13,0.125,6060000,460000,0.13,0.812539
"39",1238931,"2012-AUG-10",41.219,0,1,3,"PICE","MAR",NA,21,0.075,6060000,460000,0.21,8.65599
"40",1238931,"2012-AUG-10",41.219,0,1,4,"POPU","TRE",NA,1,0.075,6060000,460000,0.01,0.41219
"41",1238941,"2003-SEP-27",16.7356,0,0,1,"BETU","PAP",NA,48,0.733,6050000,490000,0.48,8.033088
"42",1238941,"2013-SEP-02",4.0637,0,1,1,"BETU","PAP",NA,86,0.963,6050000,490000,0.86,3.494782
