"","bark thickness","bud burst timing (mean month)","clonal growth form","coarse root rooting depth","cold_tolerance","cone serotiny","dispersal distance","dispersal syndrome","drought_tolerance","earliest bud burst timing (month)","fire_resistance","fire_tolerance","foliage type (deciduous or evergreen)","latest bud burst timing (month)","leaf dry matter content","leaf flammability","leaf force to punch","leaf photosynthetic rate","leaf texture (coarseness)","leaf thickness","leaf_length","maximum height","plant height, vegetative","resprouting ability","shade_tolerance","specific leaf area","waterlogging_tolerance","wood (or stem-specific) density","water potential at 50% loss of stem hydraulic conductivity","xylem conductance","height of lowest branch","hydraulic safety margin 50%","hydraulic safety margin 88%","leaf mass area","minimum midday xylem pressure potential","seed bank longevity","slope of vulnerability curve","stem conduit diameter (vessels and tracheids)","water potential at 12% loss of stem hydraulic conductivity","water potential at 88% loss of stem hydraulic conductivity","degree of self-pruning","photosynthetic water use efficiency","specific leaf conductivity","stem conduit density (vessels and tracheids)","stomatal conductance","seedbank duration","leaf toughness","minimum predawn xylem pressure potential","stem xylem embolism vulnerability, P50","Leaf texture (sclerophylly, physical strength, toughness)","Photosynthesis rate per leaf area","Plant height generative","leaf water content","seedbank density","stomata density","relative growth rate","intrinsic water use efficiency"
"ABIE AMA",14,5,0,0,-33.3,0,76,6,0.83,5,0,0,3,5,0.56665,1,4.12,7.6125,1,0.41,3.2,70,59.6491304347826,0,4.21,7.66083333333335,1,0.2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABIE BAL",3.73333333333333,5,3,0,0,0,0,6,0,5,0,0,3,5,0,0,0,0,0,0,0,26,18.143999707392,0,0,6.20963735717834,0,0,-3.87,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABIE LAS",22.3810344827586,5,3,2,-46.1,0,30,5.71428571428572,2.02,5,0,0,3,5,0.50828275862069,0,0,3.96980563642857,1,0,4.4,9.28985065528802,18.5985917570499,0,4.83,13.464298882482,0.97,0.17299952642753,-2.03031379432108,0,0.986104210526316,1.83904,2.4373,1956.13066824561,-1.5,0,59.6846743796855,14.8092466320241,-2.11417457050638,-4.78090042949362,1,3.34034924144444,6.21e-05,2376.29849782772,81,0,0,0,0,0,0,0,0,0,0,0,0
"ACER MAC",16.5,4.5,1,3,-25.56,0,0,6,2,4,0,1,0,5,0.48756,0,3.26,0,1,0.17,0,20,26.7407342105263,1,4.14,22.7310493433889,2,0.230215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.12,0,1,0,0,0,0,0,0,0,0,0,0,0
"ALNU INC",0,0,0,0,0,0,0,4.42857142857143,0,0,0,0,0,0,0.23805705755,0,0,0,0,0,0,0,13.7636363636364,0,0,0,0,510,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77237221,14.4285714285714,70.88588675,0,0,0,0
"ALNU RUB",18.3688191666667,3.5,4,0,-30,0,0,6,2.5,3,0,1,0,4,0.37591,0,1.76,0,2,0.31,0,0,36.1506666666667,1,1.83,14.2571732061375,2.56,0.200185,-2.54,0,0,0,0,0,0,0,30.1587301587302,0,-1.34,-3.8,0,0,0.0001422,0,300,4,0,0,0,0,0,0,0,0,0,0,0
"AMEL ALN",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BETU OCC",10,0,2,0,-52.22,0,0,6,1.27,0,0,1,0,0,0,0,0,0,1,0,0,3.04707101493447,14.1886617647059,1,3.28,16.15640599,2.63,0,-1.44997766666667,0,0,0.221,-0.0435,0,-1.3,0,95.9401131505151,0,-0.634777777777778,-1.92083333333333,0,0,0,0,0,0,0,-0.25,-1.08108466778731,0,0,0,0,0,0,0,0
"BETU PAP",7.92657246376812,4,1,0,-52.22,0,63.3333333333333,6,2.02,4,0,1,0,4,0.34242,0,2.02578816777491,11.0992673475843,1,0.21,0,20,15.3471696319018,1,1.54,24.5761975735289,1.25,0.242561111111111,-2.26171428571428,0,2.61531034482759,0,0,473.551926867833,0,0,84.0762125641212,0,-1.302,-2.516,0,0,0.00016947,0,257.821686518994,0,0,0,0,0,0,0,0,2200000,84.1708542713568,0,0
"BETU PAP NEO",7.92657246376812,4,1,0,-52.22,0,63.3333333333333,6,2.02,4,0,1,0,4,0.34242,0,2.02578816777491,11.0992673475843,1,0.21,0,20,15.3471696319018,1,1.54,24.5761975735289,1.25,0.242561111111111,-2.26171428571428,0,2.61531034482759,0,0,473.551926867833,0,0,84.0762125641212,0,-1.302,-2.516,0,0,0.00016947,0,257.821686518994,0,0,0,0,0,0,0,0,2200000,84.1708542713568,0,0
