"","NFI_species","nfi_plot","meas_date","time_step","biomass_composition","meas_year","total_biomass_plot","pct_biomass","bark thickness","bud burst timing (mean month)","clonal growth form","coarse root rooting depth","cold_tolerance","cone serotiny","dispersal distance","dispersal syndrome","drought_tolerance","earliest bud burst timing (month)","fire_resistance","fire_tolerance","foliage type (deciduous or evergreen)","latest bud burst timing (month)","leaf dry matter content","leaf flammability","leaf force to punch","leaf photosynthetic rate","leaf texture (coarseness)","leaf thickness","leaf_length","maximum height","plant height, vegetative","resprouting ability","shade_tolerance","specific leaf area","waterlogging_tolerance","wood (or stem-specific) density","water potential at 50% loss of stem hydraulic conductivity","xylem conductance","height of lowest branch","hydraulic safety margin 50%","hydraulic safety margin 88%","leaf mass area","minimum midday xylem pressure potential","seed bank longevity","slope of vulnerability curve","stem conduit diameter (vessels and tracheids)","water potential at 12% loss of stem hydraulic conductivity","water potential at 88% loss of stem hydraulic conductivity","degree of self-pruning","photosynthetic water use efficiency","specific leaf conductivity","stem conduit density (vessels and tracheids)","stomatal conductance","seedbank duration","leaf toughness","minimum predawn xylem pressure potential","stem xylem embolism vulnerability, P50","Leaf texture (sclerophylly, physical strength, toughness)","Photosynthesis rate per leaf area","Plant height generative","leaf water content","seedbank density","stomata density","relative growth rate","intrinsic water use efficiency"
"1","ABIE AMA",1500051,2005-07-03,"t1",549.26865,2005,632.92535,0.867825328848023,14,5,0,0,-33.3,0,76,6,0.83,5,0,0,3,5,0.56665,1,4.12,7.6125,1,0.41,3.2,70,59.6491304347826,0,4.21,7.66083333333335,1,0.2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ABIE AMA",1348666,2005-06-27,"t1",1052.866,2005,2216.56,0.475,14,5,0,0,-33.3,0,76,6,0.83,5,0,0,3,5,0.56665,1,4.12,7.6125,1,0.41,3.2,70,59.6491304347826,0,4.21,7.66083333333335,1,0.2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ABIE AMA",1314251,2003-07-23,"t1",444.274208,2003,1841.107109,0.241308181272141,14,5,0,0,-33.3,0,76,6,0.83,5,0,0,3,5,0.56665,1,4.12,7.6125,1,0.41,3.2,70,59.6491304347826,0,4.21,7.66083333333335,1,0.2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ABIE AMA",1486291,2002-07-16,"t1",20.77689,2002,3885.07392,0.00534787507981315,14,5,0,0,-33.3,0,76,6,0.83,5,0,0,3,5,0.56665,1,4.12,7.6125,1,0.41,3.2,70,59.6491304347826,0,4.21,7.66083333333335,1,0.2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ABIE AMA",1224876,2005-06-19,"t1",92.35785,2005,2533.6215,0.0364528995353094,14,5,0,0,-33.3,0,76,6,0.83,5,0,0,3,5,0.56665,1,4.12,7.6125,1,0.41,3.2,70,59.6491304347826,0,4.21,7.66083333333335,1,0.2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ABIE AMA",1348646,2003-07-26,"t1",2093.988,2003,4836,0.433,14,5,0,0,-33.3,0,76,6,0.83,5,0,0,3,5,0.56665,1,4.12,7.6125,1,0.41,3.2,70,59.6491304347826,0,4.21,7.66083333333335,1,0.2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ABIE AMA",1334886,2003-09-09,"t1",856.73369,2003,1132.63098,0.756410256410256,14,5,0,0,-33.3,0,76,6,0.83,5,0,0,3,5,0.56665,1,4.12,7.6125,1,0.41,3.2,70,59.6491304347826,0,4.21,7.66083333333335,1,0.2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ABIE AMA",1307371,2003-07-25,"t1",42.9792,2003,10891.6646,0.0039460634878529,14,5,0,0,-33.3,0,76,6,0.83,5,0,0,3,5,0.56665,1,4.12,7.6125,1,0.41,3.2,70,59.6491304347826,0,4.21,7.66083333333335,1,0.2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ABIE AMA",1479406,2002-07-06,"t1",156.4986,2002,9313.890486,0.016802709913246,14,5,0,0,-33.3,0,76,6,0.83,5,0,0,3,5,0.56665,1,4.12,7.6125,1,0.41,3.2,70,59.6491304347826,0,4.21,7.66083333333335,1,0.2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ABIE BAL",1287256,2003-08-31,"t1",2491.62436,2003,3065.65468,0.812754409769335,3.73333333333333,5,3,0,NA,0,NA,6,NA,5,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,26,18.143999707392,0,NA,6.20963735717834,NA,NA,-3.87,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ABIE BAL",1266511,2004-09-24,"t1",20.3578,2004,7640.6478,0.00266440759119927,3.73333333333333,5,3,0,NA,0,NA,6,NA,5,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,26,18.143999707392,0,NA,6.20963735717834,NA,NA,-3.87,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ABIE BAL",1197761,2003-08-17,"t1",0,2003,4111.2707,0,3.73333333333333,5,3,0,NA,0,NA,6,NA,5,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,26,18.143999707392,0,NA,6.20963735717834,NA,NA,-3.87,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ABIE BAL",1266481,2003-09-08,"t1",1319.899824,2003,4149.8154,0.31806229838561,3.73333333333333,5,3,0,NA,0,NA,6,NA,5,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,26,18.143999707392,0,NA,6.20963735717834,NA,NA,-3.87,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ABIE BAL",1252691,2003-08-29,"t1",50.79393,2003,51.307,0.99,3.73333333333333,5,3,0,NA,0,NA,6,NA,5,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,26,18.143999707392,0,NA,6.20963735717834,NA,NA,-3.87,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
