"","rowid","ABIE BAL","BETU PAP","BETU PAP NEO","BETU PAP PAP","LARI LAR","PICE ENG GLA","PICE GLA","PICE MAR","PINU BAN","PINU CON LAT","POPU BAL","POPU BAL BAL","POPU TRE","PSEU MEN GLA","PSEU MEN MEN","TSUG MER HET","sum_trees"
"1",52,0,0,0,0,0,0,0,0,0,3731.61504,0,0,0,0,0,0,3731.61504
"2",53,0,0,0,0,0,0,0,0,0,10.777056,0,0,0,0,0,0,10.777056
"3",57,0,0,0,0,0,0,0,0,0,661.67614,0,0,0,0,0,0,661.67614
"4",58,0,0,0,0,0,0,0,0,0,2674.996986,0,0,0,0,0,0,2674.996986
"5",59,0,0,0,0,0,1520.604528,0,0,0,0,0,0,0,0,0,0,1520.604528
"6",64,0,0,0,0,0,0,0,0,0,2253.988221,0,0,0,0,0,0,2253.988221
"7",68,0,0,0,0,0,0,0,0,0,0,0,0,0,46.95747,0,0,46.95747
"8",71,0,0,0,0,0,0,0,0,0,868.02034,0,0,0,0,0,0,868.02034
"9",89,0,0,0,0,0,6673.2889,0,0,0,0,0,0,0,0,0,0,6673.2889
"10",104,0,0,0,0,0,0,0,0,76.6917,0,0,0,0,0,0,0,76.6917
"11",106,0,0,0,46.49787,0,0,0,0,0,0,0,0,0,0,0,0,46.49787
"12",119,0,0,0,30.623409,0,0,0,0,0,0,0,0,0,0,0,0,30.623409
"13",123,0,0,0,0,0,2342.05692,0,0,0,0,0,0,0,0,0,0,2342.05692
"14",125,0,0,0,0,0,0,0,0,0,0,0,0,1806.85,0,0,0,1806.85
"15",129,0,0,0,0,0,15929.14464,0,0,0,0,0,0,0,0,0,0,15929.14464
"16",139,0,0,0,13.8005,0,0,0,0,0,0,0,0,0,0,0,0,13.8005
"17",143,0,0,0,0,369.52029,0,0,2727.93664,39.05499,0,0,0,30.0423,0,0,0,3166.55422
"18",146,0,0,0,0,0,93.41713,0,0,0,0,0,0,0,0,0,0,93.41713
"19",147,0,0,0,0,0,1673.61664,0,0,0,0,0,0,0,0,0,0,1673.61664
"20",151,0,0,0,0,0,6627.75826,0,0,0,0,0,0,0,0,0,0,6627.75826
"21",152,0,0,0,0,0,5086.17713,0,0,0,0,0,0,0,0,0,0,5086.17713
"22",154,0,0,0,0,123.11244,0,0,557.13666,0,0,0,0,0,0,0,0,680.2491
"23",155,0,0,0,0,0,0,0,0,17.7683,0,0,0,0,0,0,0,17.7683
"24",156,0,0,0,0,291.39915,0,0,1556.74765,0,0,0,0,0,0,0,0,1848.1468
"25",157,0,0,0,0,0,0,0,1399.426,0,0,0,0,0,0,0,0,1399.426
"26",158,0,0,0,0,0,0,0,0,3070.9771,0,0,0,0,0,0,0,3070.9771
"27",160,0,0,0,0,0,32.6458,0,0,0,0,0,0.634647,0,0,0,0,33.280447
"28",163,0,0,0,0,0,0,0,1592.149588,71.982612,0,0,0,0,0,0,0,1664.1322
"29",164,0,0,0,0,0,0,0,2984.16826,1477.90464,0,0,0,0,0,0,0,4462.0729
"30",165,0,0,0,0,144.3992,0,0,30.4128,0,0,0,0,0,0,0,0,174.812
"31",166,0,0,0,0,0,0,0,0.098929,9.793971,0,0,0,0,0,0,0,9.8929
"32",167,0,0,0,0,0,0,0,8.65599,0,0,251.24268,0,0.41219,0,0,0,260.31086
"33",168,0,3.494782,0,0,0,0,0,0.568918,325.51788,0,0,0,8240.74212,0,0,0,8570.3237
"34",169,0,0,0,0,0,0,0,43.49,2.70933,0,0,0,0,0,0,0,46.19933
"35",173,0,0,0,0,0,12.647544,0,0,0,0,0,0,0,0,0,0,12.647544
"36",177,0,0,0,0,0,0,0,0,134.4011,0,0,0,0,0,0,0,134.4011
"37",178,0,0,0,0,25.173642,0,0,12.398958,0,0,0,0,0,0,0,0,37.5726
"38",179,48.4276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4276
"39",180,0,0,0,0,0,0,0,4457.45166,2149.80612,0,0,0,397.85373,0,0,0,7005.11151
"40",181,0,0,0,0,0,0,43.40292,106.53444,0,0,0,0,3889.98834,0,0,0,4039.9257
"41",182,0,0,0,0,0,0,0,85.5987,0,0,1281.92064,0,0,0,0,0,1367.51934
"42",183,0,0,0,0,1.850177,0,0,183.167523,0,0,0,0,0,0,0,0,185.0177
"43",193,0,0,0,0,0,0,1160.83792,152.18302,0,0,389.3054,0,1836.81366,0,0,0,3539.14
"44",194,0,64.792751,0,0,0,0,0,0,0,0,0,0,93.238349,0,0,0,158.0311
"45",195,0,0,0,0,0,0,0,2443.78652,651.61168,0,0,0,0,0,0,0,3095.3982
"46",196,0,0,0,0,0,0,0,1611.66706,97.08394,0,0,0,0,0,0,0,1708.751
"47",197,0,0,0,0,0,0,0,63.58612,871.50388,0,0,0,0,0,0,0,935.09
"48",198,0,0,0,0,0,0,0,644.7514,191.1459,0,0,0,0,0,0,0,835.8973
"49",199,94.279036,15.902488,0,0,0,0,0,0,0,0,940.42795,0,1008.692726,0,0,0,2059.3022
"50",200,0,0.249501,0,0,0,0,0,0,0,0,0,0,24.700599,0,0,0,24.9501
"51",201,60.9122,1118.01252,0,0,0,0,0,5371.32102,0,0,0,0,0,0,0,0,6550.24574
"52",203,0,0,0,0,0,12472.41415,0,0,0,900.26448,0,0,0,0,0,0,13372.67863
"53",204,0,0,0,0,0,2127.239924,0,0,0,0,0,0,0,0,0,0,2127.239924
"54",210,0,0,0,0,961.42236,0,2482.097786,993.992472,0,0,99.30184,0,0,0,0,0,4536.814458
"55",211,0,0,0,0,0,0,0,0,0,0,0,0,4.6926,0,0,0,4.6926
"56",213,0,113.257,0,0,0,0,0,253.69568,0,0,36.24224,0,1861.94508,0,0,0,2265.14
"57",214,0,0,0,0,0,0,0,0,0,0,2698.8614,0,508.2645,0,0,0,3207.1259
"58",215,0,13.047179,0,0,0,0,1655.76471,0,0,0,0,0,3809.208811,0,0,0,5478.0207
"59",216,0,0,0,0,0,0,0,0,0,0,0,0,1535.204265,0,0,0,1535.204265
"60",217,0,0,0,0,67.694936,0,0,356.150984,328.08888,0,0,0,0,0,0,0,751.9348
"61",221,0,0,0,0,0,38.8321,0,0,0,0,0,0,0,0,0,0,38.8321
"62",227,0,0,0,0,0,0,0,0,0,223.12143,0,0,0,0,0,0,223.12143
"63",229,0,0,0,0,0,3706.316337,0,0,0,0,0,0,0,0,0,0,3706.316337
"64",230,0,0,0,0,0,0,0,122.29252,0,0,0,0,0,0,0,0,122.29252
"65",231,0,0,0,0,0,0,2628.64754,2141.11432,367.79544,0,0,0,0,0,0,0,5137.5573
"66",232,0,0,0,0,104.8355,0,0,1267.5088,0,0,0,0,0,0,0,0,1372.3443
"67",234,0,0,0,0,0,0,0,135.048513,0,0,1524.019567,0,0,0,0,0,1659.06808
"68",238,0,0,0,0,0,2362.29357,0,0,0,0,0,0,0,0,0,0,2362.29357
"69",242,0,0,0,0,0,82.1067,0,0,0,0,0,0,0,0,0,0,82.1067
"70",245,0,0,0,0,0,5.702992,0,0,0,0,0,0,0,0,0,0,5.70299199999999
"71",246,0,0,0,0,0,0,284.75517,0,0,0,0,0,1689.96783,0,0,0,1974.723
"72",252,0,0,0,0,0,43.4155,0,0,0,0,0,0,0,0,0,0,43.4155
"73",256,0,0,0,0,0,1823.112,0,0,0,0,0,0,0,0,0,0,1823.112
"74",257,0,0,0,0,0,4412.56594,0,0,0,0,0,0,0,0,0,0,4412.56594
"75",258,0,69.5484,0,0,0,0,0,0,0,0,463.656,0,3326.7318,0,0,0,3859.9362
"76",262,0,0,0,0,0,99.70037,0,0,0,0,0,0,0,0,0,0,99.70037
"77",267,0,0,0,0,0,3790.4985,0,0,0,0,0,0,0,0,0,0,3790.4985
"78",268,0,0,0,0,0,770.7552,0,0,0,0,0,0,0,0,0,0,770.7552
"79",269,0,0,0,0,0,27.2666,0,0,0,0,0,0,0,0,0,0,27.2666
"80",279,0,0,0,0,0,0,0,0,0,332.43275,0,0,0,8576.76495,0,0,8909.1977
"81",280,0,0,0,0,0,54.3783,0,0,0,0,0,0,0,0,0,0,54.3783
"82",282,0,0,0,0,0,3123.745,0,0,0,0,0,0,0,0,0,0,3123.745
"83",283,0,0,0,0,0,16.784434,0,0,0,0,0,0,0,0,0,0,16.784434
"84",284,0,0,0,0,0,1804.47575,0,0,0,0,0,0,0,0,0,0,1804.47575
"85",285,0,0,0,0,0,571.59441,0,0,0,0,0,0,0,0,0,0,571.59441
"86",288,0,0,0,0,0,4795.26912,0,0,0,754.81088,0,0,0,0,0,0,5550.08
"87",290,0,0,0,0,0,2571.5458,0,0,0,226.6542,0,0,0,0,0,0,2798.2
"88",291,0,0,0,0,0,0,0,0,0,38.6665,0,0,0,0,0,0,38.6665
"89",292,0,0,0,0,0,0,0,0,0,1516.671976,0,0,0,0,0,0,1516.671976
"90",293,0,0,0,0,0,0,0,0,0,62.52487,0,0,0,0,0,0,62.52487
"91",294,0,0,0,0,0,6207.48714,0,0,0,0,0,0,0,0,0,0,6207.48714
"92",297,0,0,0,0,0,119.04489,0,0,0,0,0,0,0,0,0,0,119.04489
"93",298,0,0,0,0,0,0,0,0,0,628.94208,0,0,0,0,0,0,628.94208
"94",299,0,0,0,0,0,392.56002,0,0,0,1584.77934,0,0,0,2922.41364,0,0,4899.753
"95",300,0,0,0,0,0,355.28451,0,0,0,522.75342,0,0,0,300.50496,0,0,1178.54289
"96",301,0,0,0,0,0,26.3185,0,0,0,5377.826437,0,0,0,0,0,0,5404.144937
"97",302,0,0,0,0,0,0,0,0,0,1547.596152,0,0,0,0,0,0,1547.596152
"98",305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.0085,730.0085
"99",307,0,0,0,0,0,0,0,0,0,2469.9377,0,0,0,0,0,0,2469.9377
"100",308,0,0,0,0,0,0,0,0,0,0,0,0,0,4075.75476,0,0,4075.75476
"101",309,0,0,0,0,0,641.4721,0,0,0,519.6736,0,0,0,2898.8043,0,0,4059.95
"102",310,0,0,0,0,0,1587.12939,0,0,0,0,0,0,0,0,0,0,1587.12939
"103",311,0,0,0,0,0,0,0,0,0,1658.2586,0,0,0,1631.36792,0,0,3289.62652
"104",312,0,0,0,0,0,0,0,0,0,3627.862589,0,0,0,0,0,0,3627.862589
"105",313,0,0,0,0,0,0,0,0,0,1176.2577,0,0,0,0,0,0,1176.2577
"106",314,0,0,0,0,0,0,0,0,0,2002.1126,0,0,0,0,0,0,2002.1126
"107",315,0,0,0,0,0,0,0,0,0,217.2748,0,0,0,0,0,0,217.2748
"108",316,0,0,0,0,0,0,0,0,0,380.29488,0,0,0,4390.47222,0,0,4770.7671
"109",317,0,0,0,0,0,0,0,0,0,3274.399175,0,0,0,0,0,0,3274.399175
"110",318,0,0,0,0,0,0,0,0,0,5327.8582,0,0,0,0,0,0,5327.8582
"111",319,0,0,0,0,0,0,0,0,0,0,0,0,0,4569.25709,0,0,4569.25709
"112",320,0,0,0,0,0,0,0,0,0,0,0,0,0,1812.82,0,0,1812.82
"113",323,0,0,0,0,0,0,0,0,0,0,0,0,0,4529.54,0,0,4529.54
"114",324,0,0,0,0,0,0,0,0,0,0,0,0,0,3237.17482,0,0,3237.17482
"115",328,0,0,0,0,0,0,0,0,0,0,0,0,0,9486.06945,0,0,9486.06945
"116",330,0,0,0,0,0,0,0,0,0,0,0,0,0,4979.72,0,0,4979.72
"117",331,0,0,0,0,0,0,0,0,0,0,0,0,0,8544.99,0,0,8544.99
"118",335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5890.56381,0,5890.56381
"119",340,0,0,0,0,0,0,0,0,0,0,0,0,0,329.47699,0,0,329.47699
"120",344,0,0,0,0,0,9631.612429,0,0,0,0,0,0,0,0,0,0,9631.612429
"121",353,0,0,0,0,0,0,0,0,0,1100.0108,0,0,0,0,0,0,1100.0108
"122",354,0,0,0,0,0,0,0,0,0,9248.31804,0,0,0,0,0,0,9248.31804
"123",355,0,0,0,0,0,0,0,0,0,0,0,0,0,48.35709,0,0,48.35709
"124",356,0,0,0,0,0,0,0,0,0,0,0,0,0,2467.16748,0,0,2467.16748
"125",357,0,0,0,0,0,0,0,0,0,0,0,0,0,1674.57664,0,0,1674.57664
"126",358,0,0,0,0,0,0,0,0,0,10797.84681,0,0,0,0,0,0,10797.84681
"127",385,0,0,172.68064,0,0,0,0,0,0,0,0,0,0,0,0,0,172.68064
"128",392,0,0,53.64934,0,0,0,0,0,0,0,0,0,0,0,0,0,53.64934
