"","X","bark.thickness","bud.burst.timing..mean.month.","clonal.growth.form","coarse.root.rooting.depth","cold_tolerance","cone.serotiny","dispersal.distance","dispersal.syndrome","drought_tolerance","earliest.bud.burst.timing..month.","fire_resistance","fire_tolerance","foliage.type..deciduous.or.evergreen.","latest.bud.burst.timing..month.","leaf.dry.matter.content","leaf.flammability","leaf.force.to.punch","leaf.photosynthetic.rate","leaf.texture..coarseness.","leaf.thickness","leaf_length","maximum.height","plant.height..vegetative","resprouting.ability","shade_tolerance","specific.leaf.area","waterlogging_tolerance","wood..or.stem.specific..density","water.potential.at.50..loss.of.stem.hydraulic.conductivity","xylem.conductance","height.of.lowest.branch","hydraulic.safety.margin.50.","hydraulic.safety.margin.88.","leaf.mass.area","minimum.midday.xylem.pressure.potential","seed.bank.longevity","slope.of.vulnerability.curve","stem.conduit.diameter..vessels.and.tracheids.","water.potential.at.12..loss.of.stem.hydraulic.conductivity","water.potential.at.88..loss.of.stem.hydraulic.conductivity","degree.of.self.pruning","photosynthetic.water.use.efficiency","specific.leaf.conductivity","stem.conduit.density..vessels.and.tracheids.","stomatal.conductance","seedbank.duration","leaf.toughness","minimum.predawn.xylem.pressure.potential","stem.xylem.embolism.vulnerability..P50","Leaf.texture..sclerophylly..physical.strength..toughness.","Photosynthesis.rate.per.leaf.area","Plant.height.generative","leaf.water.content","seedbank.density","stomata.density","relative.growth.rate","intrinsic.water.use.efficiency"
"ABIE BAL",2,3.73333333333333,5,4,1,0,1,0,6,0,5,0,0,4,5,0,0,0,0,0,0,0,26,18.143999707392,0,0,6.20963735717834,0,0,-3.87,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BETU PAP",12,7.92657246376812,4,2,1,-52.22,1,63.3333333333333,6,2.02,4,0,2,1,4,0.34242,0,2.02578816777491,11.0992673475843,2,0.21,0,20,15.3471696319018,1,1.54,24.5761975735289,1.25,0.242561111111111,-2.26171428571428,0,2.61531034482759,0,0,473.551926867833,0,0,84.0762125641212,0,-1.302,-2.516,0,0,0.00016947,0,257.821686518994,0,0,0,0,0,0,0,0,2200000,84.1708542713568,0,0
"BETU PAP NEO",13,7.92657246376812,4,2,1,-52.22,1,63.3333333333333,6,2.02,4,0,2,1,4,0.34242,0,2.02578816777491,11.0992673475843,2,0.21,0,20,15.3471696319018,1,1.54,24.5761975735289,1.25,0.242561111111111,-2.26171428571428,0,2.61531034482759,0,0,473.551926867833,0,0,84.0762125641212,0,-1.302,-2.516,0,0,0.00016947,0,257.821686518994,0,0,0,0,0,0,0,0,2200000,84.1708542713568,0,0
"BETU PAP PAP",14,7.92657246376812,4,2,1,-52.22,1,63.3333333333333,6,2.02,4,0,2,1,4,0.34242,0,2.02578816777491,11.0992673475843,2,0.21,0,20,15.3471696319018,1,1.54,24.5761975735289,1.25,0.242561111111111,-2.26171428571428,0,2.61531034482759,0,0,473.551926867833,0,0,84.0762125641212,0,-1.302,-2.516,0,0,0.00016947,0,257.821686518994,0,0,0,0,0,0,0,0,2200000,84.1708542713568,0,0
"LARI LAR",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747246301666667,0
"PICE ENG GLA",22,15,6,4,1,-45.5,1,137.5,6,2.58,6,0,1,4,6,0,0,0,5.07859338114286,2,0,2.6,50,38.3514545454545,0,4.53,3.29642857142857,1.02,0.240555509403757,-3.43602541655023,0,0,0,0,309.029543251359,0,0,46.5362765835939,15.5680369041451,-3.36379602033207,-4.99695397966792,0,4.17099578611111,0,2606.28866622405,96,0,0,0,0,0,0,0,0,0,0,0,0
"PICE GLA",23,12.15,0,1,1,0,1,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,27.5,30.23999951232,0,0,15.1,0,0.00033,-4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0.073882528,0
"PICE MAR",24,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587861978461538,0
"PINU BAN",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,0.0539752377333333,0
"PINU CON LAT",30,15.5,5,1,4,-56.6,2,40,4.26086956521739,4.04,5,0,1,4,5,0.55168,0,5.23,14.3039743367044,2,0.53,7.6,50,26.2595333333333,0.333333333333333,1.73,2.889375,2.7,0.206538085850473,-2.32467012444536,0,0,1.97,1.14137,0,-1.7,0,82.4093369735283,24.81184126837,-2.61295116647641,-4.43938366681887,0,0,8.445e-05,1732.05453436533,0,0,0,0,0,0,0,0,0,0,0,0,82.505
"POPU BAL",33,100,0,1,0,-61.67,1,0,6,1.77,0,0,2,1,0,0.44243,0,3.44626335708988,12.865,2,0.27,0,30,26.4364571428572,1,1.27,15.9059712709575,2.63,0.22639625,-1.71965277777778,0,0,0.552166469539244,0.825,83.1469185202787,-0.7,0,48.513481948996,36.65,-0.925,-2.505,0,0,0,363.81,378.241880277778,0,0,-0.1,0,0,0,0,0,0,0,0,0
"POPU BAL BAL",34,100,0,1,0,-61.67,1,0,6,1.77,0,0,2,1,0,0.44243,0,3.44626335708988,12.865,2,0.27,0,30,26.4364571428572,1,1.27,15.9059712709575,2.63,0.22639625,-1.71965277777778,0,0,0.552166469539244,0.825,83.1469185202787,-0.7,0,48.513481948996,36.65,-0.925,-2.505,0,0,0,363.81,378.241880277778,0,0,-0.1,0,0,0,0,0,0,0,0,0
"POPU TRE",35,2.07084444444444,5.5,3,1,-56.67,1,0,6,1.77,5,0,2,1,6,0.36936596393372,0,4.54056331348139,14.2482808459476,2,0.16,0,12,13.0587395104895,1,1.21,18.0513377806896,1.77,0.198857217307344,-2.2703125,0,0,0.73,0.761,82.1902187275229,-2.01,2,20.8240496100773,23.6778846153846,-0.8135,-4.0045,0,2.39713844011111,5.48e-05,0,332.09555356871,0,0,0,-2.50672782874618,0,0,0,0,0,0,0,0
"PSEU MEN GLA",38,157.39435483871,5.25,1,4,-36.1,1,1033.33333333333,4.75,2.62,4.75,1,1,4,5.75,0.478702068965517,0,2.31,9.30570566068332,2,0.54,3.2,50.5,60.3562955555555,0,2.78,8.44436553855726,1.79,0.230090584032623,-3.7663165,0,0,0,0,138.038426460289,-2.09285714285714,2,38.6650300052431,16.6092840388346,-2.1185254994092,-4.85056335248641,0,0,3.87333333333333e-05,0,69.1894466666667,0,0,-1.234805,-3.19,0,0,0,0,0,0,0,0
"PSEU MEN MEN",39,157.39435483871,5.25,1,4,-36.1,1,1033.33333333333,4.75,2.62,4.75,1,1,4,5.75,0.478702068965517,0,2.31,9.30570566068332,2,0.54,3.2,50.5,60.3562955555555,0,2.78,8.44436553855726,1.79,0.230090584032623,-3.7663165,0,0,0,0,138.038426460289,-2.09285714285714,2,38.6650300052431,16.6092840388346,-2.1185254994092,-4.85056335248641,0,0,3.87333333333333e-05,0,69.1894466666667,0,0,-1.234805,-3.19,0,0,0,0,0,0,0,0
"TSUG MER HET",46,25.5,0,4,1,-27.7,1,0,6,1,0,0,1,4,0,0,0,0,0,1,0,2.5,0,41.7083333333333,0,4.48,4.32,0.95,0.23271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
