"","nfi_plot","meas_date","time_step","meas_year"
"1",812056,2005-08-08,"t1",2005
"2",812056,2021-07-17,"t2",2021
"3",839566,2005-08-08,"t1",2005
"4",839566,2021-07-19,"t2",2021
"5",846436,2005-08-12,"t1",2005
"6",846436,2021-07-19,"t2",2021
"7",846466,2005-08-10,"t1",2005
"8",846466,2021-07-20,"t2",2021
"9",853296,2005-08-13,"t1",2005
"10",853296,2021-07-21,"t2",2021
"11",853326,2005-08-12,"t1",2005
"12",853326,2021-07-18,"t2",2021
"13",853346,2005-08-09,"t1",2005
"14",853346,2021-07-20,"t2",2021
"15",860171,2006-07-26,"t1",2006
"16",860171,2021-07-21,"t2",2021
"17",867091,2005-08-07,"t1",2005
"18",867091,2021-07-17,"t2",2021
"19",873921,2006-07-24,"t1",2006
"20",873921,2021-07-16,"t2",2021
"21",873961,2005-08-01,"t1",2005
"22",873961,2019-08-03,"t2",2019
"23",874051,2006-07-30,"t1",2006
"24",874051,2019-08-08,"t2",2019
"25",880786,2006-07-26,"t1",2006
"26",880786,2021-07-16,"t2",2021
"27",880796,2006-07-25,"t1",2006
"28",880796,2021-07-13,"t2",2021
"29",880806,2002-08-12,"t1",2002
"30",880806,2021-07-15,"t2",2021
"31",880821,2005-08-01,"t1",2005
"32",880821,2021-07-14,"t2",2021
"33",880841,2002-08-07,"t1",2002
"34",880841,2019-08-03,"t2",2019
"35",880846,2002-08-09,"t1",2002
"36",880846,2019-08-04,"t2",2019
"37",880886,2005-08-03,"t1",2005
"38",880886,2019-08-07,"t2",2019
"39",887701,2005-08-02,"t1",2005
"40",887701,2021-07-13,"t2",2021
"41",887706,2005-07-31,"t1",2005
"42",887706,2019-08-02,"t2",2019
"43",887711,2002-08-09,"t1",2002
"44",887711,2019-08-01,"t2",2019
"45",887751,2005-08-03,"t1",2005
"46",887751,2019-08-05,"t2",2019
"47",887761,2005-08-04,"t1",2005
"48",887761,2019-08-08,"t2",2019
"49",894591,2005-07-30,"t1",2005
"50",894591,2019-07-31,"t2",2019
"51",901506,2006-07-29,"t1",2006
"52",901506,2019-08-05,"t2",2019
"53",901546,2006-07-30,"t1",2006
"54",901546,2019-08-06,"t2",2019
"55",901566,2005-08-05,"t1",2005
"56",901566,2019-08-06,"t2",2019
"57",908331,2002-08-19,"t1",2002
"58",908331,2021-07-14,"t2",2021
"59",908381,2005-07-29,"t1",2005
"60",908381,2019-08-02,"t2",2019
"61",915246,2002-08-28,"t1",2002
"62",915246,2019-07-31,"t2",2019
"63",915266,2005-08-29,"t1",2005
"64",915266,2019-08-01,"t2",2019
"65",915301,2005-08-04,"t1",2005
"66",915301,2019-08-09,"t2",2019
"67",922181,2005-08-06,"t1",2005
"68",922181,2019-08-07,"t2",2019
"69",929016,2004-08-28,"t1",2004
"70",929016,2018-08-23,"t2",2018
"71",929021,2004-08-29,"t1",2004
"72",929021,2018-08-24,"t2",2018
"73",929061,2005-08-05,"t1",2005
"74",929061,2018-08-29,"t2",2018
"75",929066,2005-08-06,"t1",2005
"76",929066,2019-08-09,"t2",2019
"77",935891,2004-08-30,"t1",2004
"78",935891,2019-07-30,"t2",2019
"79",942786,2004-09-01,"t1",2004
"80",942786,2018-08-25,"t2",2018
"81",949656,2004-09-02,"t1",2004
"82",949656,2018-08-27,"t2",2018
"83",963511,2004-07-19,"t1",2004
"84",963511,2015-08-25,"t2",2015
"85",970321,2004-08-25,"t1",2004
"86",970321,2018-08-20,"t2",2018
"87",970336,2005-07-27,"t1",2005
"88",970336,2018-08-28,"t2",2018
"89",977196,2004-08-26,"t1",2004
"90",977196,2018-08-26,"t2",2018
"91",977211,2004-09-03,"t1",2004
"92",977211,2018-08-30,"t2",2018
"93",977281,2004-07-18,"t1",2004
"94",977281,2015-08-25,"t2",2015
"95",984081,2004-08-31,"t1",2004
"96",984081,2018-08-21,"t2",2018
"97",997836,2005-07-28,"t1",2005
"98",997836,2018-08-22,"t2",2018
"99",997846,2005-07-27,"t1",2005
"100",997846,2018-08-31,"t2",2018
"101",997851,2005-07-28,"t1",2005
